Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/6/2015,40.4,ppb,38,24,100
1/7/2015,25.2,ppb,24,24,100
1/8/2015,34.5,ppb,32,24,100
1/9/2015,30.9,ppb,28,24,100
1/10/2015,21.5,ppb,20,24,100
1/12/2015,28.1,ppb,26,24,100
1/13/2015,19.9,ppb,18,24,100
1/14/2015,29.8,ppb,27,24,100
1/15/2015,31.7,ppb,29,24,100
1/16/2015,41.1,ppb,39,24,100
1/18/2015,38.4,ppb,36,24,100
1/20/2015,37.8,ppb,35,24,100
1/22/2015,32.7,ppb,30,24,100
1/23/2015,37.3,ppb,35,24,100
1/24/2015,33.3,ppb,31,24,100
1/26/2015,39.9,ppb,37,24,100
1/27/2015,33.8,ppb,31,24,100
1/28/2015,31.7,ppb,29,24,100
1/29/2015,27.5,ppb,25,24,100
1/30/2015,32.5,ppb,30,24,100
1/31/2015,26.2,ppb,25,24,100
2/1/2015,25.8,ppb,24,24,100
2/2/2015,38.8,ppb,36,24,100
2/3/2015,33,ppb,31,24,100
2/4/2015,32.2,ppb,30,24,100
2/5/2015,33.6,ppb,31,24,100
2/6/2015,39.5,ppb,37,24,100
2/7/2015,34.5,ppb,32,24,100
2/10/2015,37,ppb,35,24,100
2/11/2015,11.4,ppb,10,24,100
2/12/2015,33.6,ppb,31,24,100
2/13/2015,37.6,ppb,35,24,100
2/14/2015,32.5,ppb,30,24,100
2/15/2015,28.4,ppb,26,24,100
2/16/2015,25.5,ppb,24,24,100
2/17/2015,19.2,ppb,18,24,100
2/18/2015,41.1,ppb,39,24,100
2/19/2015,41.2,ppb,39,24,100
2/20/2015,39.9,ppb,37,24,100
2/21/2015,26.8,ppb,25,24,100
2/22/2015,18.7,ppb,17,24,100
2/23/2015,17.6,ppb,16,24,100
2/24/2015,29.7,ppb,27,24,100
2/26/2015,35.8,ppb,33,21,88
2/27/2015,17,ppb,16,24,100
2/28/2015,22.7,ppb,21,24,100
3/1/2015,21.5,ppb,20,24,100
3/2/2015,18.7,ppb,17,24,100
3/3/2015,17.1,ppb,16,24,100
3/4/2015,34.7,ppb,32,24,100
3/5/2015,25.4,ppb,24,24,100
3/6/2015,42.6,ppb,40,24,100
3/7/2015,42.4,ppb,40,24,100
3/9/2015,36.9,ppb,34,24,100
3/10/2015,27.8,ppb,25,24,100
3/11/2015,36.6,ppb,34,24,100
3/13/2015,35.8,ppb,33,19,79
3/14/2015,36.9,ppb,34,24,100
3/15/2015,28.6,ppb,26,24,100
3/16/2015,38.9,ppb,36,24,100
3/17/2015,31,ppb,29,24,100
3/18/2015,27.5,ppb,25,24,100
3/19/2015,21.6,ppb,20,24,100
3/20/2015,29.9,ppb,27,24,100
3/21/2015,32.7,ppb,30,24,100
3/23/2015,40.3,ppb,38,24,100
3/24/2015,41.4,ppb,39,24,100
3/25/2015,34.8,ppb,32,24,100
3/26/2015,24.7,ppb,23,24,100
3/27/2015,38.9,ppb,36,24,100
3/28/2015,30.1,ppb,28,24,100
3/29/2015,24.8,ppb,23,24,100
3/30/2015,32.5,ppb,30,24,100
3/31/2015,23.7,ppb,22,24,100
4/1/2015,27.5,ppb,25,24,100
4/2/2015,18.8,ppb,17,24,100
4/3/2015,14.1,ppb,13,24,100
4/4/2015,9.6,ppb,8,24,100
