Date,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
5/31/2013,0.2,ppm,2,24,100
6/1/2013,0.2,ppm,2,24,100
6/2/2013,0.1,ppm,1,22,92
6/3/2013,0.1,ppm,1,20,83
6/4/2013,0.2,ppm,2,24,100
6/5/2013,0.2,ppm,2,24,100
6/6/2013,0.2,ppm,2,24,100
6/7/2013,0.2,ppm,2,24,100
6/8/2013,0.2,ppm,2,24,100
6/9/2013,0.1,ppm,1,24,100
6/10/2013,0.1,ppm,1,24,100
6/11/2013,0.1,ppm,1,24,100
6/12/2013,0.3,ppm,3,24,100
6/13/2013,0.3,ppm,3,24,100
6/14/2013,0.1,ppm,1,24,100
6/15/2013,0.2,ppm,2,24,100
6/16/2013,0.2,ppm,2,18,75
6/17/2013,0.2,ppm,2,24,100
6/18/2013,0.2,ppm,2,24,100
6/19/2013,0.2,ppm,2,24,100
6/20/2013,0.2,ppm,2,24,100
6/21/2013,0.2,ppm,2,24,100
6/22/2013,0.2,ppm,2,24,100
6/23/2013,0.2,ppm,2,17,71
6/24/2013,0.2,ppm,2,24,100
6/25/2013,0.1,ppm,1,24,100
6/26/2013,0.1,ppm,1,7,29
6/27/2013,0.3,ppm,3,5,21
6/28/2013,0.3,ppm,3,24,100
6/29/2013,0.3,ppm,3,24,100
6/30/2013,0.3,ppm,3,24,100
7/1/2013,0.3,ppm,3,18,75
7/2/2013,0.3,ppm,3,24,100
7/3/2013,0.3,ppm,3,24,100
7/4/2013,0.3,ppm,3,24,100
7/5/2013,0.4,ppm,5,24,100
7/6/2013,0.3,ppm,3,24,100
7/7/2013,0.3,ppm,3,24,100
7/8/2013,0.4,ppm,5,24,100
7/9/2013,0.3,ppm,3,24,100
7/10/2013,0.3,ppm,3,24,100
7/11/2013,0.3,ppm,3,24,100
7/12/2013,0.3,ppm,3,24,100
7/13/2013,0.3,ppm,3,24,100
7/14/2013,0.3,ppm,3,18,75
7/15/2013,0.3,ppm,3,10,42
7/16/2013,0.2,ppm,2,11,46
7/17/2013,0.2,ppm,2,24,100
7/18/2013,0.1,ppm,1,24,100
7/19/2013,0.4,ppm,5,24,100
7/20/2013,0.3,ppm,3,24,100
7/21/2013,0.1,ppm,1,24,100
7/22/2013,0.2,ppm,2,24,100
7/23/2013,0.1,ppm,1,24,100
7/24/2013,0.2,ppm,2,24,100
7/25/2013,0.2,ppm,2,24,100
7/26/2013,0.2,ppm,2,24,100
7/27/2013,0.2,ppm,2,24,100
7/28/2013,0.1,ppm,1,18,75
7/29/2013,0.2,ppm,2,24,100
7/30/2013,0.2,ppm,2,24,100
7/31/2013,0.2,ppm,2,24,100
8/1/2013,0.2,ppm,2,24,100
8/2/2013,0.2,ppm,2,24,100
8/3/2013,0.2,ppm,2,24,100
8/4/2013,0.2,ppm,2,24,100
8/5/2013,0.2,ppm,2,24,100
8/6/2013,0.2,ppm,2,24,100
8/7/2013,0.2,ppm,2,24,100
8/8/2013,0.2,ppm,2,24,100
8/9/2013,0.2,ppm,2,24,100
8/10/2013,0.2,ppm,2,24,100
8/11/2013,0.1,ppm,1,18,75
8/12/2013,0.2,ppm,2,24,100
8/13/2013,0.2,ppm,2,24,100
8/14/2013,0.2,ppm,2,24,100
8/15/2013,0.2,ppm,2,24,100
8/16/2013,0.2,ppm,2,24,100
8/17/2013,0.2,ppm,2,24,100
8/18/2013,0.2,ppm,2,24,100
8/19/2013,0.3,ppm,3,24,100
8/20/2013,0.2,ppm,2,24,100
8/21/2013,0.3,ppm,3,24,100
8/22/2013,0.3,ppm,3,24,100
8/23/2013,0.2,ppm,2,24,100
8/24/2013,0.2,ppm,2,24,100
8/25/2013,0.2,ppm,2,18,75
8/26/2013,0.3,ppm,3,24,100
8/27/2013,0.2,ppm,2,24,100
8/28/2013,0.2,ppm,2,24,100
8/29/2013,0.2,ppm,2,24,100
8/30/2013,0.2,ppm,2,24,100
8/31/2013,0.2,ppm,2,24,100
9/1/2013,0.2,ppm,2,24,100
9/2/2013,0.2,ppm,2,24,100
9/3/2013,0.3,ppm,3,24,100
9/4/2013,0.2,ppm,2,24,100
9/5/2013,0.2,ppm,2,24,100
9/6/2013,0.3,ppm,3,24,100
9/7/2013,0.2,ppm,2,24,100
9/8/2013,0.2,ppm,2,18,75
9/9/2013,0.3,ppm,3,24,100
9/10/2013,0.2,ppm,2,24,100
9/11/2013,0.2,ppm,2,24,100
9/12/2013,0.2,ppm,2,24,100
9/13/2013,0.2,ppm,2,24,100
9/14/2013,0.2,ppm,2,24,100
9/15/2013,0.2,ppm,2,24,100
9/16/2013,0.3,ppm,3,24,100
9/17/2013,0.3,ppm,3,24,100
9/18/2013,0.2,ppm,2,11,46
9/19/2013,0.3,ppm,3,24,100
9/20/2013,0.2,ppm,2,24,100
9/21/2013,0.2,ppm,2,24,100
9/22/2013,0.1,ppm,1,18,75
9/23/2013,0.2,ppm,2,24,100
9/24/2013,0.2,ppm,2,24,100
9/25/2013,0.3,ppm,3,20,83
9/26/2013,0.2,ppm,2,21,88
9/27/2013,0.2,ppm,2,24,100
9/28/2013,0.2,ppm,2,24,100
9/29/2013,0.3,ppm,3,24,100
9/30/2013,0.3,ppm,3,24,100
10/1/2013,0.3,ppm,3,24,100
10/2/2013,0.3,ppm,3,24,100
10/3/2013,0.3,ppm,3,24,100
10/4/2013,0.2,ppm,2,24,100
10/5/2013,0.2,ppm,2,24,100
10/6/2013,0.3,ppm,3,18,75
10/7/2013,0.3,ppm,3,24,100
10/8/2013,0.5,ppm,6,24,100
10/9/2013,0.4,ppm,5,24,100
10/10/2013,0.2,ppm,2,24,100
10/11/2013,0.2,ppm,2,24,100
10/12/2013,0.2,ppm,2,24,100
