Date,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2014,0.5,ppm,6,19,79
1/2/2014,0.7,ppm,8,24,100
1/3/2014,1,ppm,11,24,100
1/4/2014,0.5,ppm,6,24,100
1/5/2014,0.2,ppm,2,24,100
1/6/2014,0.3,ppm,3,24,100
1/7/2014,0.7,ppm,8,24,100
1/8/2014,0.8,ppm,9,24,100
1/9/2014,0.9,ppm,10,24,100
1/10/2014,0.3,ppm,3,24,100
1/11/2014,0.5,ppm,6,24,100
1/12/2014,0.5,ppm,6,18,75
1/13/2014,0.2,ppm,2,24,100
1/14/2014,0.3,ppm,3,24,100
1/15/2014,0.4,ppm,5,24,100
1/16/2014,0.2,ppm,2,24,100
1/17/2014,0.5,ppm,6,24,100
1/18/2014,0.6,ppm,7,24,100
1/19/2014,0.6,ppm,7,24,100
1/20/2014,0.5,ppm,6,24,100
1/21/2014,0.4,ppm,5,24,100
1/22/2014,0.6,ppm,7,24,100
1/23/2014,0.5,ppm,6,24,100
1/24/2014,0.6,ppm,7,24,100
1/25/2014,0.7,ppm,8,24,100
1/26/2014,0.3,ppm,3,18,75
1/27/2014,0.4,ppm,5,24,100
1/28/2014,0.4,ppm,5,24,100
1/29/2014,0.4,ppm,5,24,100
1/30/2014,0.6,ppm,7,24,100
1/31/2014,0.2,ppm,2,24,100
2/1/2014,0.2,ppm,2,24,100
2/2/2014,0.2,ppm,2,24,100
2/3/2014,0.4,ppm,5,24,100
2/4/2014,0.4,ppm,5,24,100
2/5/2014,0.5,ppm,6,24,100
2/6/2014,0.4,ppm,5,24,100
2/7/2014,0.5,ppm,6,24,100
2/8/2014,0.5,ppm,6,24,100
2/9/2014,0.7,ppm,8,24,100
2/10/2014,0.3,ppm,3,24,100
2/11/2014,0.2,ppm,2,24,100
2/12/2014,0.3,ppm,3,24,100
2/13/2014,0.3,ppm,3,24,100
2/14/2014,0.3,ppm,3,24,100
2/15/2014,0.3,ppm,3,24,100
2/16/2014,0.4,ppm,5,24,100
2/17/2014,0.3,ppm,3,24,100
2/18/2014,0.3,ppm,3,24,100
2/19/2014,0.4,ppm,5,24,100
2/20/2014,0.2,ppm,2,24,100
2/21/2014,0.4,ppm,5,24,100
2/22/2014,0.5,ppm,6,24,100
2/23/2014,0.4,ppm,5,24,100
2/24/2014,0.6,ppm,7,24,100
2/25/2014,0.4,ppm,5,24,100
2/26/2014,0.4,ppm,5,24,100
2/27/2014,0.4,ppm,5,24,100
2/28/2014,0.4,ppm,5,24,100
3/1/2014,0.5,ppm,6,24,100
3/2/2014,0.3,ppm,3,24,100
3/3/2014,0.4,ppm,5,24,100
3/4/2014,0.5,ppm,6,24,100
3/5/2014,0.2,ppm,2,24,100
3/6/2014,0.5,ppm,6,24,100
3/7/2014,0.2,ppm,2,24,100
3/8/2014,0.2,ppm,2,24,100
3/9/2014,0.3,ppm,3,24,100
3/10/2014,0.7,ppm,8,24,100
3/11/2014,0.3,ppm,3,24,100
3/12/2014,0.2,ppm,2,24,100
3/13/2014,0.3,ppm,3,24,100
3/14/2014,0.3,ppm,3,24,100
3/15/2014,0.3,ppm,3,24,100
3/16/2014,0.2,ppm,2,24,100
3/17/2014,0.4,ppm,5,24,100
3/18/2014,0.2,ppm,2,24,100
3/19/2014,0.3,ppm,3,24,100
3/20/2014,0.4,ppm,5,24,100
3/21/2014,0.3,ppm,3,24,100
3/22/2014,0.2,ppm,2,24,100
3/23/2014,0.2,ppm,2,17,71
3/24/2014,0.4,ppm,5,23,96
3/25/2014,0.2,ppm,2,9,38
3/26/2014,0.2,ppm,2,24,100
3/27/2014,0.2,ppm,2,18,75
3/28/2014,0.3,ppm,3,23,96
3/29/2014,0.2,ppm,2,24,100
3/30/2014,0.3,ppm,3,24,100
3/31/2014,0.2,ppm,2,24,100
4/1/2014,0.6,ppm,7,24,100
4/2/2014,0.2,ppm,2,24,100
4/3/2014,0.2,ppm,2,24,100
4/4/2014,0.2,ppm,2,24,100
4/5/2014,0.2,ppm,2,24,100
4/6/2014,0.3,ppm,3,18,75
4/7/2014,0.2,ppm,2,24,100
4/8/2014,0.3,ppm,3,24,100
4/9/2014,0.4,ppm,5,24,100
4/10/2014,0.3,ppm,3,24,100
4/11/2014,0.5,ppm,6,24,100
4/12/2014,0.3,ppm,3,24,100
4/13/2014,0.2,ppm,2,24,100
4/14/2014,0.3,ppm,3,24,100
4/15/2014,0.3,ppm,3,24,100
4/16/2014,0.3,ppm,3,24,100
4/17/2014,0.3,ppm,3,24,100
4/18/2014,0.2,ppm,2,24,100
4/19/2014,0.2,ppm,2,24,100
4/20/2014,0.3,ppm,3,18,75
4/21/2014,0.2,ppm,2,24,100
4/22/2014,0.2,ppm,2,24,100
4/23/2014,0.2,ppm,2,24,100
4/24/2014,0.2,ppm,2,24,100
4/25/2014,0.3,ppm,3,24,100
4/26/2014,0.2,ppm,2,24,100
4/27/2014,0.2,ppm,2,24,100
4/28/2014,0.2,ppm,2,24,100
4/29/2014,0.2,ppm,2,24,100
4/30/2014,0.2,ppm,2,24,100
5/1/2014,0.2,ppm,2,24,100
5/2/2014,0.3,ppm,3,24,100
5/3/2014,0.3,ppm,3,24,100
5/4/2014,0.2,ppm,2,18,75
5/5/2014,0.3,ppm,3,24,100
5/6/2014,0.2,ppm,2,24,100
5/7/2014,0.2,ppm,2,24,100
5/8/2014,0.3,ppm,3,24,100
5/9/2014,0.4,ppm,5,24,100
5/10/2014,0.3,ppm,3,24,100
5/11/2014,0.2,ppm,2,24,100
5/12/2014,0.2,ppm,2,24,100
5/13/2014,0.2,ppm,2,24,100
5/14/2014,0.2,ppm,2,24,100
5/15/2014,0.4,ppm,5,24,100
5/16/2014,0.3,ppm,3,24,100
5/17/2014,0.3,ppm,3,24,100
5/18/2014,0.3,ppm,3,18,75
5/19/2014,0.3,ppm,3,24,100
5/20/2014,0.2,ppm,2,24,100
5/21/2014,0.3,ppm,3,24,100
5/22/2014,0.2,ppm,2,24,100
5/23/2014,0.2,ppm,2,24,100
5/24/2014,0.2,ppm,2,24,100
5/25/2014,0.2,ppm,2,24,100
5/26/2014,0.2,ppm,2,24,100
5/27/2014,0.3,ppm,3,24,100
5/28/2014,0.2,ppm,2,24,100
5/29/2014,0.2,ppm,2,24,100
5/30/2014,0.2,ppm,2,24,100
5/31/2014,0.2,ppm,2,24,100
6/1/2014,0.2,ppm,2,18,75
6/2/2014,0.3,ppm,3,24,100
6/3/2014,0.3,ppm,3,24,100
6/4/2014,0.2,ppm,2,24,100
6/5/2014,0.2,ppm,2,24,100
6/6/2014,0.3,ppm,3,24,100
6/7/2014,0.3,ppm,3,24,100
6/8/2014,0.2,ppm,2,24,100
6/9/2014,0.2,ppm,2,24,100
6/10/2014,0.2,ppm,2,24,100
6/11/2014,0.2,ppm,2,24,100
6/12/2014,0.2,ppm,2,24,100
6/13/2014,0.2,ppm,2,24,100
6/14/2014,0.2,ppm,2,24,100
6/15/2014,0.2,ppm,2,24,100
6/16/2014,0.1,ppm,1,18,75
6/17/2014,0.2,ppm,2,24,100
6/18/2014,0.2,ppm,2,24,100
6/19/2014,0.2,ppm,2,18,75
6/20/2014,0.2,ppm,2,24,100
6/21/2014,0.2,ppm,2,24,100
6/22/2014,0.2,ppm,2,24,100
6/23/2014,0.2,ppm,2,24,100
6/24/2014,0.2,ppm,2,10,42
6/25/2014,0.2,ppm,2,24,100
6/26/2014,0.2,ppm,2,17,71
6/27/2014,0.2,ppm,2,24,100
6/28/2014,0.2,ppm,2,18,75
6/29/2014,0.3,ppm,3,24,100
6/30/2014,0.3,ppm,3,24,100
7/1/2014,0.2,ppm,2,24,100
7/2/2014,0.1,ppm,1,24,100
7/3/2014,0.1,ppm,1,24,100
7/4/2014,0.2,ppm,2,24,100
7/5/2014,0.2,ppm,2,24,100
7/6/2014,0.2,ppm,2,24,100
7/7/2014,0.2,ppm,2,24,100
7/8/2014,0.2,ppm,2,24,100
7/9/2014,0.1,ppm,1,14,58
7/10/2014,0.2,ppm,2,24,100
7/11/2014,0.2,ppm,2,24,100
7/12/2014,0.1,ppm,1,24,100
7/13/2014,0.1,ppm,1,18,75
7/14/2014,0.2,ppm,2,24,100
7/15/2014,0.2,ppm,2,24,100
7/16/2014,0.2,ppm,2,24,100
7/17/2014,0.2,ppm,2,24,100
7/18/2014,0.3,ppm,3,24,100
7/19/2014,0.3,ppm,3,24,100
7/20/2014,0.2,ppm,2,24,100
7/21/2014,0.2,ppm,2,24,100
7/22/2014,0.2,ppm,2,24,100
7/23/2014,0.2,ppm,2,24,100
7/24/2014,0.2,ppm,2,24,100
7/25/2014,0.3,ppm,3,24,100
7/26/2014,0.3,ppm,3,24,100
7/27/2014,0.2,ppm,2,18,75
7/28/2014,0.1,ppm,1,24,100
7/29/2014,0.2,ppm,2,24,100
7/30/2014,0.2,ppm,2,24,100
7/31/2014,0.2,ppm,2,24,100
8/1/2014,0.2,ppm,2,24,100
8/2/2014,0.2,ppm,2,24,100
8/3/2014,0.2,ppm,2,24,100
8/4/2014,0.2,ppm,2,24,100
8/5/2014,0.2,ppm,2,24,100
8/6/2014,0.2,ppm,2,24,100
8/7/2014,0.2,ppm,2,24,100
8/8/2014,0.2,ppm,2,24,100
8/9/2014,0.2,ppm,2,24,100
8/10/2014,0.1,ppm,1,18,75
8/11/2014,0.2,ppm,2,24,100
8/12/2014,0.2,ppm,2,24,100
8/13/2014,0.2,ppm,2,24,100
8/14/2014,0.2,ppm,2,24,100
8/15/2014,0.2,ppm,2,24,100
8/16/2014,0.2,ppm,2,24,100
8/17/2014,0.2,ppm,2,24,100
8/18/2014,0.2,ppm,2,24,100
8/19/2014,0.2,ppm,2,24,100
8/20/2014,0.2,ppm,2,24,100
8/21/2014,0.2,ppm,2,24,100
8/22/2014,0.2,ppm,2,24,100
8/23/2014,0.2,ppm,2,24,100
8/24/2014,0.2,ppm,2,24,100
8/25/2014,0.2,ppm,2,24,100
8/26/2014,0.2,ppm,2,18,75
8/27/2014,0.2,ppm,2,24,100
8/28/2014,0.2,ppm,2,24,100
8/29/2014,0.2,ppm,2,24,100
8/30/2014,0.3,ppm,3,24,100
8/31/2014,0.2,ppm,2,24,100
9/1/2014,0.2,ppm,2,24,100
9/2/2014,0.3,ppm,3,24,100
9/3/2014,0.3,ppm,3,24,100
9/4/2014,0.2,ppm,2,24,100
9/5/2014,0.2,ppm,2,24,100
9/6/2014,0.1,ppm,1,24,100
9/7/2014,0.1,ppm,1,18,75
9/8/2014,0.1,ppm,1,24,100
9/9/2014,0.1,ppm,1,24,100
9/10/2014,0.1,ppm,1,24,100
9/11/2014,0.2,ppm,2,24,100
9/12/2014,0.2,ppm,2,24,100
9/13/2014,0.2,ppm,2,24,100
9/14/2014,0.1,ppm,1,24,100
9/15/2014,0.2,ppm,2,24,100
9/16/2014,0.2,ppm,2,24,100
9/17/2014,0.3,ppm,3,24,100
9/18/2014,0.3,ppm,3,24,100
9/19/2014,0.2,ppm,2,24,100
9/20/2014,0.2,ppm,2,24,100
9/21/2014,0.1,ppm,1,18,75
9/22/2014,0.2,ppm,2,24,100
9/23/2014,0.2,ppm,2,14,58
9/24/2014,0.2,ppm,2,24,100
9/25/2014,0.2,ppm,2,24,100
9/26/2014,0.3,ppm,3,24,100
9/27/2014,0.2,ppm,2,24,100
9/28/2014,0.2,ppm,2,24,100
9/29/2014,0.2,ppm,2,24,100
9/30/2014,0.2,ppm,2,24,100
10/1/2014,0.3,ppm,3,24,100
10/2/2014,0.2,ppm,2,18,75
10/3/2014,0.2,ppm,2,24,100
10/4/2014,0.2,ppm,2,24,100
10/5/2014,0.2,ppm,2,18,75
10/6/2014,0.3,ppm,3,24,100
10/7/2014,0.4,ppm,5,24,100
10/8/2014,0.3,ppm,3,24,100
10/9/2014,0.2,ppm,2,24,100
10/10/2014,0.2,ppm,2,24,100
10/11/2014,0.2,ppm,2,24,100
10/12/2014,0.2,ppm,2,24,100
10/13/2014,0.2,ppm,2,24,100
10/14/2014,0.4,ppm,5,24,100
