Date,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2016,13,ug/m3 SC,12,1,100
1/2/2016,18,ug/m3 SC,17,1,100
1/3/2016,24,ug/m3 SC,22,1,100
1/7/2016,7,ug/m3 SC,6,1,100
1/8/2016,6,ug/m3 SC,6,1,100
1/9/2016,8,ug/m3 SC,7,1,100
1/10/2016,10,ug/m3 SC,9,1,100
1/11/2016,9,ug/m3 SC,8,1,100
1/12/2016,12,ug/m3 SC,11,1,100
1/13/2016,16,ug/m3 SC,15,1,100
1/14/2016,23,ug/m3 SC,21,1,100
1/15/2016,15,ug/m3 SC,14,1,100
1/16/2016,5,ug/m3 SC,5,1,100
1/17/2016,9,ug/m3 SC,8,1,100
1/19/2016,12,ug/m3 SC,11,1,100
1/20/2016,17,ug/m3 SC,16,1,100
1/21/2016,6,ug/m3 SC,6,1,100
1/22/2016,18,ug/m3 SC,17,1,100
1/23/2016,23,ug/m3 SC,21,1,100
1/24/2016,17,ug/m3 SC,16,1,100
1/25/2016,8,ug/m3 SC,7,1,100
1/26/2016,10,ug/m3 SC,9,1,100
1/27/2016,13,ug/m3 SC,12,1,100
1/28/2016,22,ug/m3 SC,20,1,100
1/29/2016,30,ug/m3 SC,28,1,100
1/30/2016,18,ug/m3 SC,17,1,100
1/31/2016,13,ug/m3 SC,12,1,100
2/1/2016,10,ug/m3 SC,9,1,100
2/2/2016,8,ug/m3 SC,7,1,100
2/3/2016,9,ug/m3 SC,8,1,100
2/4/2016,8,ug/m3 SC,7,1,100
2/5/2016,7,ug/m3 SC,6,1,100
2/6/2016,6,ug/m3 SC,6,1,100
2/7/2016,8,ug/m3 SC,7,1,100
2/8/2016,13,ug/m3 SC,12,1,100
2/9/2016,16,ug/m3 SC,15,1,100
2/10/2016,16,ug/m3 SC,15,1,100
2/11/2016,17,ug/m3 SC,16,1,100
2/12/2016,18,ug/m3 SC,17,1,100
2/13/2016,20,ug/m3 SC,19,1,100
2/14/2016,10,ug/m3 SC,9,1,100
2/15/2016,15,ug/m3 SC,14,1,100
2/16/2016,11,ug/m3 SC,10,1,100
2/17/2016,17,ug/m3 SC,16,1,100
2/18/2016,25,ug/m3 SC,23,1,100
2/19/2016,20,ug/m3 SC,19,1,100
2/20/2016,9,ug/m3 SC,8,1,100
2/21/2016,18,ug/m3 SC,17,1,100
2/22/2016,21,ug/m3 SC,19,1,100
2/23/2016,7,ug/m3 SC,6,1,100
2/24/2016,8,ug/m3 SC,7,1,100
2/25/2016,11,ug/m3 SC,10,1,100
2/26/2016,24,ug/m3 SC,22,1,100
2/27/2016,18,ug/m3 SC,17,1,100
2/28/2016,15,ug/m3 SC,14,1,100
2/29/2016,14,ug/m3 SC,13,1,100
3/1/2016,18,ug/m3 SC,17,1,100
3/2/2016,16,ug/m3 SC,15,1,100
3/3/2016,17,ug/m3 SC,16,1,100
3/4/2016,24,ug/m3 SC,22,1,100
3/5/2016,24,ug/m3 SC,22,1,100
3/6/2016,11,ug/m3 SC,10,1,100
3/7/2016,17,ug/m3 SC,16,1,100
3/8/2016,18,ug/m3 SC,17,1,100
3/9/2016,12,ug/m3 SC,11,1,100
3/10/2016,14,ug/m3 SC,13,1,100
3/11/2016,14,ug/m3 SC,13,1,100
3/12/2016,29,ug/m3 SC,27,1,100
3/13/2016,8,ug/m3 SC,7,1,100
3/14/2016,13,ug/m3 SC,12,1,100
3/15/2016,20,ug/m3 SC,19,1,100
3/16/2016,21,ug/m3 SC,19,1,100
3/17/2016,26,ug/m3 SC,24,1,100
3/18/2016,21,ug/m3 SC,19,1,100
3/19/2016,22,ug/m3 SC,20,1,100
3/20/2016,16,ug/m3 SC,15,1,100
3/21/2016,20,ug/m3 SC,19,1,100
3/22/2016,98,ug/m3 SC,72,1,100
3/23/2016,47,ug/m3 SC,44,1,100
3/24/2016,7,ug/m3 SC,6,1,100
3/25/2016,13,ug/m3 SC,12,1,100
3/26/2016,22,ug/m3 SC,20,1,100
3/27/2016,7,ug/m3 SC,6,1,100
3/28/2016,21,ug/m3 SC,19,1,100
3/29/2016,57,ug/m3 SC,52,1,100
3/30/2016,17,ug/m3 SC,16,1,100
3/31/2016,10,ug/m3 SC,9,1,100
4/1/2016,10,ug/m3 SC,9,1,100
4/2/2016,10,ug/m3 SC,9,1,100
4/3/2016,8,ug/m3 SC,7,1,100
4/4/2016,16,ug/m3 SC,15,1,100
4/5/2016,25,ug/m3 SC,23,1,100
4/6/2016,11,ug/m3 SC,10,1,100
4/7/2016,24,ug/m3 SC,22,1,100
4/8/2016,21,ug/m3 SC,19,1,100
4/9/2016,6,ug/m3 SC,6,1,100
4/10/2016,7,ug/m3 SC,6,1,100
4/11/2016,6,ug/m3 SC,6,1,100
