Date,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
6/25/2012,0.057,ppm,58,15,88
6/26/2012,0.057,ppm,58,17,100
6/27/2012,0.049,ppm,45,17,100
6/28/2012,0.053,ppm,49,17,100
6/29/2012,0.051,ppm,47,17,100
6/30/2012,0.054,ppm,50,17,100
7/1/2012,0.055,ppm,51,17,100
7/2/2012,0.064,ppm,80,17,100
7/3/2012,0.061,ppm,71,17,100
7/4/2012,0.057,ppm,58,17,100
7/5/2012,0.061,ppm,71,17,100
7/6/2012,0.07,ppm,100,17,100
7/7/2012,0.047,ppm,44,17,100
7/8/2012,0.057,ppm,58,17,100
7/9/2012,0.062,ppm,74,17,100
7/10/2012,0.059,ppm,64,17,100
7/11/2012,0.069,ppm,97,17,100
7/12/2012,0.072,ppm,105,17,100
7/13/2012,0.069,ppm,97,17,100
7/14/2012,0.068,ppm,93,17,100
7/15/2012,0.063,ppm,77,17,100
7/16/2012,0.06,ppm,67,17,100
7/17/2012,0.057,ppm,58,17,100
7/18/2012,0.067,ppm,90,17,100
7/19/2012,0.056,ppm,54,17,100
7/20/2012,0.056,ppm,54,17,100
7/21/2012,0.052,ppm,48,17,100
7/22/2012,0.055,ppm,51,17,100
7/23/2012,0.056,ppm,54,17,100
7/24/2012,0.056,ppm,54,17,100
7/25/2012,0.054,ppm,50,17,100
7/26/2012,0.052,ppm,48,17,100
7/27/2012,0.061,ppm,71,17,100
7/28/2012,0.057,ppm,58,17,100
7/29/2012,0.049,ppm,45,17,100
7/30/2012,0.057,ppm,58,17,100
7/31/2012,0.056,ppm,54,17,100
8/1/2012,0.064,ppm,80,17,100
8/2/2012,0.06,ppm,67,17,100
8/3/2012,0.06,ppm,67,17,100
8/4/2012,0.061,ppm,71,17,100
8/5/2012,0.061,ppm,71,17,100
8/6/2012,0.066,ppm,87,17,100
8/7/2012,0.065,ppm,84,17,100
8/8/2012,0.064,ppm,80,17,100
8/9/2012,0.075,ppm,115,17,100
8/10/2012,0.064,ppm,80,17,100
8/11/2012,0.058,ppm,61,17,100
8/12/2012,0.06,ppm,67,17,100
8/13/2012,0.062,ppm,74,17,100
8/14/2012,0.058,ppm,61,17,100
8/15/2012,0.06,ppm,67,17,100
8/16/2012,0.059,ppm,64,17,100
8/17/2012,0.063,ppm,77,17,100
8/18/2012,0.067,ppm,90,17,100
8/19/2012,0.07,ppm,100,17,100
8/20/2012,0.053,ppm,49,17,100
8/21/2012,0.062,ppm,74,17,100
8/22/2012,0.047,ppm,44,17,100
8/23/2012,0.044,ppm,41,17,100
8/24/2012,0.043,ppm,40,17,100
8/25/2012,0.061,ppm,71,17,100
8/26/2012,0.065,ppm,84,17,100
8/27/2012,0.005,ppm,5,17,100
8/28/2012,0.009,ppm,8,17,100
8/29/2012,0.067,ppm,90,17,100
8/30/2012,0.061,ppm,71,17,100
8/31/2012,0.06,ppm,67,17,100
9/1/2012,0.063,ppm,77,17,100
9/2/2012,0.058,ppm,61,17,100
9/3/2012,0.048,ppm,44,17,100
9/4/2012,0.047,ppm,44,17,100
9/5/2012,0.04,ppm,37,17,100
9/6/2012,0.054,ppm,50,17,100
9/7/2012,0.047,ppm,44,17,100
9/8/2012,0.047,ppm,44,17,100
9/9/2012,0.049,ppm,45,17,100
9/10/2012,0.045,ppm,42,17,100
9/11/2012,0.045,ppm,42,17,100
9/12/2012,0.04,ppm,37,17,100
9/13/2012,0.045,ppm,42,17,100
9/14/2012,0.051,ppm,47,17,100
9/15/2012,0.059,ppm,64,17,100
9/16/2012,0.045,ppm,42,17,100
9/17/2012,0.044,ppm,41,17,100
9/18/2012,0.051,ppm,47,17,100
9/19/2012,0.052,ppm,48,17,100
9/20/2012,0.048,ppm,44,17,100
9/21/2012,0.054,ppm,50,17,100
9/23/2012,0.052,ppm,48,17,100
9/24/2012,0.047,ppm,44,16,94
9/25/2012,0.044,ppm,41,17,100
9/26/2012,0.042,ppm,39,17,100
9/27/2012,0.047,ppm,44,17,100
9/28/2012,0.042,ppm,39,17,100
9/29/2012,0.051,ppm,47,17,100
9/30/2012,0.053,ppm,49,17,100
10/1/2012,0.051,ppm,47,17,100
10/2/2012,0.048,ppm,44,17,100
10/3/2012,0.038,ppm,35,17,100
10/4/2012,0.052,ppm,48,17,100
10/5/2012,0.046,ppm,43,17,100
10/6/2012,0.044,ppm,41,17,100
10/7/2012,0.041,ppm,38,17,100
10/8/2012,0.044,ppm,41,17,100
10/9/2012,0.018,ppm,17,17,100
10/10/2012,0.018,ppm,17,17,100
10/11/2012,0.01,ppm,9,17,100
10/12/2012,0.013,ppm,12,17,100
10/13/2012,0.007,ppm,6,17,100
10/14/2012,0.001,ppm,1,17,100
10/15/2012,0.004,ppm,4,17,100
10/16/2012,0.003,ppm,3,17,100
10/17/2012,0.012,ppm,11,17,100
10/18/2012,0.042,ppm,39,17,100
10/19/2012,0.036,ppm,33,17,100
10/20/2012,0.034,ppm,31,17,100
10/21/2012,0.043,ppm,40,17,100
10/22/2012,0.036,ppm,33,17,100
10/23/2012,0.036,ppm,33,17,100
10/24/2012,0.04,ppm,37,17,100
10/25/2012,0.044,ppm,41,17,100
