Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2012,36.1,ppb,34,24,100
1/3/2012,42.7,ppb,40,23,96
1/4/2012,36.5,ppb,34,24,100
1/5/2012,42,ppb,40,22,92
1/6/2012,52.2,ppb,49,24,100
1/7/2012,39.1,ppb,37,24,100
1/8/2012,31.3,ppb,29,24,100
1/9/2012,37.3,ppb,35,23,96
1/10/2012,46.9,ppb,43,24,100
1/11/2012,38.3,ppb,36,24,100
1/12/2012,28.5,ppb,26,24,100
1/13/2012,29.8,ppb,27,24,100
1/14/2012,41,ppb,39,24,100
1/15/2012,37,ppb,35,24,100
1/16/2012,21.9,ppb,20,24,100
1/18/2012,43.5,ppb,41,24,100
1/19/2012,38.6,ppb,36,24,100
1/20/2012,35.1,ppb,33,24,100
1/21/2012,34.2,ppb,32,24,100
1/22/2012,19.5,ppb,18,24,100
1/23/2012,42.6,ppb,40,24,100
1/24/2012,28.9,ppb,26,24,100
1/25/2012,22.8,ppb,21,24,100
1/26/2012,38.2,ppb,36,24,100
1/27/2012,38.6,ppb,36,24,100
1/28/2012,32.9,ppb,30,24,100
1/29/2012,37,ppb,35,24,100
1/31/2012,39.8,ppb,37,23,96
2/1/2012,42.6,ppb,40,24,100
2/2/2012,37.8,ppb,35,24,100
2/3/2012,31.8,ppb,29,24,100
2/4/2012,31.7,ppb,29,24,100
2/5/2012,16,ppb,15,24,100
2/6/2012,40.7,ppb,38,24,100
2/7/2012,19.6,ppb,18,24,100
2/8/2012,42.7,ppb,40,24,100
2/9/2012,38.4,ppb,36,24,100
2/10/2012,35.6,ppb,33,24,100
2/11/2012,34.9,ppb,32,24,100
2/12/2012,19.2,ppb,18,18,75
2/13/2012,35.2,ppb,33,24,100
2/14/2012,33.2,ppb,31,24,100
2/17/2012,37.8,ppb,35,24,100
2/18/2012,43.4,ppb,41,24,100
2/19/2012,32.3,ppb,30,24,100
2/20/2012,32.9,ppb,30,24,100
2/21/2012,49.3,ppb,46,24,100
2/23/2012,30.4,ppb,28,24,100
2/24/2012,37.3,ppb,35,24,100
2/25/2012,40.9,ppb,38,24,100
2/26/2012,38.9,ppb,36,18,75
2/27/2012,31.1,ppb,29,24,100
2/28/2012,22.9,ppb,21,24,100
3/1/2012,35.5,ppb,33,19,79
3/2/2012,22.3,ppb,21,24,100
3/3/2012,19.4,ppb,18,24,100
3/4/2012,31.2,ppb,29,24,100
3/5/2012,35.9,ppb,33,24,100
3/6/2012,35,ppb,33,24,100
3/7/2012,14.8,ppb,13,24,100
3/8/2012,9.6,ppb,8,24,100
3/9/2012,18.9,ppb,17,24,100
3/10/2012,14.6,ppb,13,24,100
3/11/2012,46.1,ppb,43,18,75
3/12/2012,45.2,ppb,42,24,100
3/13/2012,41.5,ppb,39,18,75
3/14/2012,40.5,ppb,38,24,100
3/16/2012,42.3,ppb,40,18,75
3/17/2012,33.5,ppb,31,24,100
3/18/2012,6.1,ppb,6,24,100
3/19/2012,18.8,ppb,17,24,100
3/20/2012,13.8,ppb,12,20,83
3/22/2012,21.7,ppb,20,24,100
3/23/2012,39.1,ppb,37,24,100
3/24/2012,43.6,ppb,41,24,100
3/25/2012,36.7,ppb,34,18,75
3/26/2012,14.2,ppb,13,21,88
3/27/2012,39.5,ppb,37,18,75
3/28/2012,42.7,ppb,40,24,100
3/29/2012,41.8,ppb,39,24,100
3/30/2012,40.6,ppb,38,24,100
4/1/2012,18.7,ppb,17,24,100
4/2/2012,16.3,ppb,15,24,100
4/3/2012,32.2,ppb,30,18,75
4/4/2012,37.1,ppb,35,24,100
4/5/2012,39.6,ppb,37,24,100
4/6/2012,30.6,ppb,28,24,100
4/7/2012,16.2,ppb,15,24,100
4/8/2012,20.6,ppb,19,18,75
4/9/2012,42.1,ppb,40,24,100
4/11/2012,29.8,ppb,27,24,100
4/12/2012,19.4,ppb,18,24,100
4/13/2012,45.3,ppb,42,24,100
4/14/2012,14.3,ppb,13,24,100
4/15/2012,12.7,ppb,11,24,100
4/16/2012,40.2,ppb,38,24,100
4/17/2012,18,ppb,17,18,75
4/18/2012,37.7,ppb,35,24,100
4/19/2012,21,ppb,20,24,100
4/20/2012,22.6,ppb,21,24,100
4/21/2012,29,ppb,27,24,100
4/22/2012,15.4,ppb,14,18,75
4/23/2012,23.9,ppb,22,18,75
4/24/2012,23.4,ppb,22,24,100
4/25/2012,35.7,ppb,33,24,100
4/26/2012,32.9,ppb,30,24,100
4/27/2012,25.4,ppb,24,24,100
4/28/2012,23.4,ppb,22,24,100
4/29/2012,13.9,ppb,12,24,100
4/30/2012,16.1,ppb,15,18,75
5/1/2012,17.9,ppb,16,24,100
5/2/2012,34.1,ppb,32,24,100
5/3/2012,30.2,ppb,28,24,100
5/4/2012,29.6,ppb,27,24,100
5/5/2012,25.8,ppb,24,24,100
5/6/2012,23.8,ppb,22,18,75
5/8/2012,13.1,ppb,12,19,79
5/9/2012,21.1,ppb,20,24,100
5/10/2012,28.7,ppb,26,24,100
5/11/2012,26.2,ppb,25,24,100
5/12/2012,12.9,ppb,11,24,100
5/13/2012,9.2,ppb,8,24,100
5/14/2012,23.5,ppb,22,24,100
5/15/2012,24.7,ppb,23,24,100
5/16/2012,34.4,ppb,32,24,100
5/18/2012,34.8,ppb,32,23,96
5/19/2012,18.5,ppb,17,24,100
5/21/2012,24.9,ppb,23,23,96
5/22/2012,32.9,ppb,30,18,75
5/23/2012,14.2,ppb,13,22,92
5/24/2012,23,ppb,22,24,100
5/25/2012,15,ppb,14,24,100
5/26/2012,13.4,ppb,12,24,100
5/27/2012,10,ppb,9,24,100
5/28/2012,19.7,ppb,18,24,100
5/29/2012,34.9,ppb,32,24,100
5/30/2012,39.8,ppb,37,24,100
5/31/2012,26.1,ppb,25,24,100
6/1/2012,32.5,ppb,30,24,100
6/8/2012,26.8,ppb,25,24,100
6/9/2012,18.6,ppb,17,24,100
6/10/2012,9.4,ppb,8,24,100
6/11/2012,23.1,ppb,22,24,100
6/12/2012,15.3,ppb,14,24,100
6/13/2012,19.2,ppb,18,24,100
6/14/2012,29.1,ppb,27,24,100
6/15/2012,33.3,ppb,31,24,100
6/16/2012,12.9,ppb,11,24,100
6/17/2012,21.2,ppb,20,18,75
6/18/2012,28.9,ppb,26,24,100
6/19/2012,26.5,ppb,25,24,100
6/20/2012,30.8,ppb,28,24,100
6/21/2012,7.2,ppb,7,24,100
6/22/2012,29.8,ppb,27,24,100
6/23/2012,17,ppb,16,24,100
6/24/2012,17.3,ppb,16,24,100
6/26/2012,17.2,ppb,16,22,92
6/27/2012,47.8,ppb,44,24,100
6/28/2012,25.6,ppb,24,24,100
6/29/2012,31.8,ppb,29,24,100
6/30/2012,19.9,ppb,18,24,100
7/1/2012,17.3,ppb,16,18,75
7/2/2012,27.2,ppb,25,18,75
7/3/2012,19.9,ppb,18,24,100
7/4/2012,9.3,ppb,8,24,100
7/5/2012,10.6,ppb,9,24,100
7/6/2012,12.3,ppb,11,24,100
7/7/2012,12.5,ppb,11,24,100
7/8/2012,15.1,ppb,14,24,100
7/9/2012,14.3,ppb,13,24,100
7/10/2012,15.7,ppb,14,24,100
7/11/2012,11,ppb,10,24,100
7/12/2012,20.3,ppb,19,24,100
7/13/2012,14.8,ppb,13,24,100
7/14/2012,12.3,ppb,11,24,100
7/15/2012,8.5,ppb,8,18,75
7/16/2012,18.1,ppb,17,24,100
7/17/2012,19.3,ppb,18,23,96
7/18/2012,23.9,ppb,22,24,100
7/19/2012,24,ppb,23,24,100
7/20/2012,16.5,ppb,15,24,100
7/21/2012,15,ppb,14,24,100
7/22/2012,9.2,ppb,8,24,100
7/23/2012,31.5,ppb,29,24,100
7/24/2012,23.7,ppb,22,24,100
7/25/2012,19.3,ppb,18,24,100
7/26/2012,24.8,ppb,23,24,100
7/27/2012,31.3,ppb,29,24,100
7/28/2012,9.3,ppb,8,24,100
7/29/2012,13.8,ppb,12,18,75
7/30/2012,26,ppb,25,24,100
7/31/2012,9.4,ppb,8,23,96
8/1/2012,14.2,ppb,13,24,100
8/2/2012,26.7,ppb,25,24,100
8/3/2012,24.3,ppb,23,24,100
8/4/2012,13.1,ppb,12,24,100
8/5/2012,6.5,ppb,6,24,100
8/6/2012,30.6,ppb,28,24,100
8/7/2012,22.8,ppb,21,24,100
8/8/2012,26.4,ppb,25,24,100
8/9/2012,25.8,ppb,24,24,100
8/10/2012,32.4,ppb,30,24,100
8/11/2012,18.4,ppb,17,24,100
8/12/2012,18.9,ppb,17,18,75
8/14/2012,18.1,ppb,17,24,100
8/15/2012,27.5,ppb,25,24,100
8/16/2012,26.6,ppb,25,24,100
8/17/2012,18.3,ppb,17,24,100
8/18/2012,14.2,ppb,13,24,100
8/19/2012,9.1,ppb,8,24,100
8/20/2012,12.9,ppb,11,24,100
8/21/2012,27.3,ppb,25,24,100
8/22/2012,25.7,ppb,24,24,100
8/23/2012,28,ppb,26,24,100
8/24/2012,15.8,ppb,14,24,100
8/25/2012,16.9,ppb,15,24,100
8/26/2012,23.1,ppb,22,18,75
8/29/2012,22.5,ppb,21,19,79
8/30/2012,39.3,ppb,37,24,100
8/31/2012,33.4,ppb,31,24,100
9/1/2012,35.2,ppb,33,24,100
9/2/2012,22.4,ppb,21,24,100
9/3/2012,10.6,ppb,9,24,100
9/4/2012,19.9,ppb,18,24,100
9/5/2012,32.9,ppb,30,24,100
9/6/2012,34.1,ppb,32,24,100
9/7/2012,30.6,ppb,28,24,100
9/8/2012,11.4,ppb,10,24,100
9/9/2012,13.7,ppb,12,18,75
9/10/2012,25.9,ppb,24,24,100
9/11/2012,29.1,ppb,27,24,100
9/12/2012,20.7,ppb,19,24,100
9/13/2012,17.3,ppb,16,24,100
9/14/2012,18.2,ppb,17,22,92
9/15/2012,37.3,ppb,35,24,100
9/16/2012,24.9,ppb,23,24,100
9/17/2012,28.7,ppb,26,24,100
9/18/2012,31,ppb,29,24,100
9/19/2012,39.8,ppb,37,24,100
9/22/2012,36,ppb,34,22,92
9/24/2012,28.9,ppb,26,18,75
9/25/2012,26.6,ppb,25,18,75
9/26/2012,36.6,ppb,34,24,100
9/27/2012,30.8,ppb,28,24,100
9/28/2012,26.1,ppb,25,24,100
9/29/2012,17.2,ppb,16,24,100
9/30/2012,21.4,ppb,20,24,100
10/1/2012,22.5,ppb,21,24,100
10/2/2012,31.9,ppb,29,24,100
10/3/2012,42.3,ppb,40,24,100
10/4/2012,49.9,ppb,46,24,100
10/5/2012,27.1,ppb,25,24,100
10/6/2012,15.3,ppb,14,24,100
10/7/2012,31.9,ppb,29,18,75
10/8/2012,43.3,ppb,41,24,100
10/9/2012,44.4,ppb,42,24,100
10/10/2012,37,ppb,35,24,100
10/11/2012,31.3,ppb,29,22,92
10/12/2012,22.4,ppb,21,24,100
10/13/2012,16.9,ppb,15,24,100
10/14/2012,25.7,ppb,24,24,100
10/15/2012,35.6,ppb,33,24,100
10/16/2012,40.2,ppb,38,24,100
10/17/2012,19.7,ppb,18,24,100
10/18/2012,38.3,ppb,36,24,100
10/19/2012,42.6,ppb,40,24,100
10/20/2012,38.9,ppb,36,24,100
10/21/2012,36.7,ppb,34,18,75
10/22/2012,29.7,ppb,27,22,92
10/23/2012,40.7,ppb,38,24,100
10/24/2012,42.4,ppb,40,24,100
10/25/2012,37.8,ppb,35,24,100
10/26/2012,15.2,ppb,14,24,100
10/27/2012,41.9,ppb,39,24,100
10/28/2012,40.8,ppb,38,24,100
10/29/2012,42.9,ppb,40,24,100
10/30/2012,45.6,ppb,42,24,100
10/31/2012,38,ppb,36,24,100
11/1/2012,34,ppb,32,24,100
11/2/2012,39,ppb,37,24,100
11/3/2012,35,ppb,33,24,100
11/4/2012,24,ppb,23,18,75
11/5/2012,46,ppb,43,24,100
11/6/2012,49,ppb,46,24,100
11/7/2012,52,ppb,49,24,100
11/8/2012,39,ppb,37,24,100
11/9/2012,34,ppb,32,24,100
11/10/2012,11,ppb,10,24,100
11/11/2012,21,ppb,20,24,100
11/12/2012,40,ppb,38,20,83
11/13/2012,37.2,ppb,35,24,100
11/15/2012,47.6,ppb,44,24,100
11/16/2012,46.8,ppb,43,24,100
11/17/2012,45.5,ppb,42,24,100
11/18/2012,39.5,ppb,37,18,75
11/19/2012,40.7,ppb,38,24,100
11/20/2012,45.5,ppb,42,24,100
11/21/2012,37.4,ppb,35,24,100
11/22/2012,31.5,ppb,29,24,100
11/23/2012,37.4,ppb,35,24,100
11/24/2012,42.1,ppb,40,24,100
11/25/2012,41.9,ppb,39,24,100
11/26/2012,43.7,ppb,41,24,100
11/27/2012,49.6,ppb,46,24,100
11/28/2012,43.5,ppb,41,24,100
11/29/2012,48,ppb,45,24,100
11/30/2012,42.7,ppb,40,24,100
12/1/2012,39.8,ppb,37,24,100
12/2/2012,38.6,ppb,36,24,100
12/3/2012,36.2,ppb,34,24,100
12/4/2012,43.3,ppb,41,24,100
12/6/2012,46.2,ppb,43,24,100
12/7/2012,41.6,ppb,39,24,100
12/8/2012,41,ppb,39,24,100
12/9/2012,24.2,ppb,23,24,100
12/10/2012,40.6,ppb,38,24,100
