Date,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2014,25,ug/m3 SC,23,1,100
1/2/2014,23,ug/m3 SC,21,1,100
1/3/2014,36,ug/m3 SC,33,1,100
1/4/2014,36,ug/m3 SC,33,1,100
1/5/2014,9,ug/m3 SC,8,1,100
1/6/2014,10,ug/m3 SC,9,1,100
1/7/2014,33,ug/m3 SC,31,1,100
1/8/2014,32,ug/m3 SC,30,1,100
1/9/2014,34,ug/m3 SC,31,1,100
1/10/2014,40,ug/m3 SC,37,1,100
1/11/2014,14,ug/m3 SC,13,1,100
1/12/2014,30,ug/m3 SC,28,1,100
1/13/2014,15,ug/m3 SC,14,1,100
1/14/2014,17,ug/m3 SC,16,1,100
1/15/2014,17,ug/m3 SC,16,1,100
1/16/2014,14,ug/m3 SC,13,1,100
1/17/2014,26,ug/m3 SC,24,1,100
1/18/2014,21,ug/m3 SC,19,1,100
1/19/2014,24,ug/m3 SC,22,1,100
1/20/2014,22,ug/m3 SC,20,1,100
1/21/2014,31,ug/m3 SC,29,1,100
1/22/2014,31,ug/m3 SC,29,1,100
1/23/2014,33,ug/m3 SC,31,1,100
1/24/2014,32,ug/m3 SC,30,1,100
1/25/2014,22,ug/m3 SC,20,1,100
1/26/2014,10,ug/m3 SC,9,1,100
1/27/2014,51,ug/m3 SC,47,1,100
1/28/2014,40,ug/m3 SC,37,1,100
1/29/2014,18,ug/m3 SC,17,1,100
1/30/2014,42,ug/m3 SC,39,1,100
1/31/2014,27,ug/m3 SC,25,1,100
2/4/2014,12,ug/m3 SC,11,1,100
2/5/2014,16,ug/m3 SC,15,1,100
2/6/2014,23,ug/m3 SC,21,1,100
2/7/2014,26,ug/m3 SC,24,1,100
2/8/2014,22,ug/m3 SC,20,1,100
2/9/2014,17,ug/m3 SC,16,1,100
2/10/2014,14,ug/m3 SC,13,1,100
2/11/2014,13,ug/m3 SC,12,1,100
2/12/2014,12,ug/m3 SC,11,1,100
2/13/2014,15,ug/m3 SC,14,1,100
2/14/2014,14,ug/m3 SC,13,1,100
2/15/2014,15,ug/m3 SC,14,1,100
2/16/2014,16,ug/m3 SC,15,1,100
2/17/2014,16,ug/m3 SC,15,1,100
2/18/2014,17,ug/m3 SC,16,1,100
2/19/2014,64,ug/m3 SC,55,1,100
2/20/2014,17,ug/m3 SC,16,1,100
2/21/2014,13,ug/m3 SC,12,1,100
2/22/2014,17,ug/m3 SC,16,1,100
2/23/2014,17,ug/m3 SC,16,1,100
2/24/2014,24,ug/m3 SC,22,1,100
2/25/2014,22,ug/m3 SC,20,1,100
