Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2014,33.7,ppb,31,24,100
1/2/2014,38.6,ppb,36,24,100
1/3/2014,45.8,ppb,42,24,100
1/4/2014,32.4,ppb,30,24,100
1/5/2014,11.7,ppb,10,24,100
1/6/2014,31.8,ppb,29,24,100
1/7/2014,39.7,ppb,37,24,100
1/8/2014,39.6,ppb,37,24,100
1/9/2014,38.3,ppb,36,24,100
1/10/2014,32.1,ppb,30,24,100
1/11/2014,33.8,ppb,31,24,100
1/13/2014,18.1,ppb,17,23,96
1/14/2014,23.5,ppb,22,24,100
1/15/2014,33.7,ppb,31,24,100
1/16/2014,25.9,ppb,24,24,100
1/17/2014,39.8,ppb,37,24,100
1/18/2014,36.1,ppb,34,24,100
1/19/2014,35.8,ppb,33,24,100
1/20/2014,33.6,ppb,31,24,100
1/21/2014,38.6,ppb,36,24,100
1/22/2014,35.7,ppb,33,24,100
1/23/2014,25,ppb,24,24,100
1/24/2014,37.9,ppb,35,24,100
1/25/2014,36,ppb,34,24,100
1/27/2014,36.9,ppb,34,18,75
1/28/2014,32.3,ppb,30,24,100
1/29/2014,39.1,ppb,37,24,100
1/30/2014,42.8,ppb,40,24,100
1/31/2014,19,ppb,18,24,100
2/1/2014,10.4,ppb,9,24,100
2/2/2014,16.8,ppb,15,24,100
2/3/2014,32.3,ppb,30,24,100
2/4/2014,36.5,ppb,34,23,96
2/5/2014,31.5,ppb,29,24,100
2/6/2014,29.9,ppb,27,24,100
2/7/2014,37.2,ppb,35,24,100
2/8/2014,35.8,ppb,33,24,100
2/9/2014,33.2,ppb,31,24,100
2/10/2014,29.1,ppb,27,24,100
2/11/2014,23.3,ppb,22,24,100
2/12/2014,30.2,ppb,28,24,100
2/13/2014,26.1,ppb,25,24,100
2/14/2014,25.8,ppb,24,24,100
2/15/2014,29.9,ppb,27,24,100
2/16/2014,25.3,ppb,24,24,100
2/17/2014,30,ppb,28,23,96
2/18/2014,33.9,ppb,31,24,100
2/19/2014,34,ppb,32,24,100
2/20/2014,12.4,ppb,11,24,100
2/21/2014,35.9,ppb,33,24,100
2/22/2014,35.2,ppb,33,24,100
2/23/2014,31.3,ppb,29,24,100
2/24/2014,37.5,ppb,35,24,100
2/25/2014,32.8,ppb,30,24,100
2/26/2014,38.3,ppb,36,24,100
2/27/2014,37,ppb,35,24,100
2/28/2014,34.2,ppb,32,24,100
3/1/2014,30.2,ppb,28,24,100
3/2/2014,26.9,ppb,25,24,100
3/3/2014,32.3,ppb,30,24,100
3/4/2014,32.6,ppb,30,24,100
3/5/2014,21.6,ppb,20,24,100
3/6/2014,32.3,ppb,30,24,100
3/7/2014,24.3,ppb,23,24,100
3/8/2014,21.3,ppb,20,24,100
3/9/2014,26.1,ppb,25,24,100
3/10/2014,40,ppb,38,24,100
3/11/2014,27.9,ppb,25,24,100
3/12/2014,21.2,ppb,20,24,100
3/13/2014,27.3,ppb,25,24,100
3/14/2014,30.3,ppb,28,24,100
3/15/2014,25.3,ppb,24,24,100
3/16/2014,15.6,ppb,14,24,100
3/17/2014,39.7,ppb,37,24,100
3/18/2014,23.9,ppb,22,24,100
3/19/2014,27.3,ppb,25,24,100
3/20/2014,37.1,ppb,35,24,100
3/21/2014,35.6,ppb,33,24,100
3/22/2014,16.6,ppb,15,24,100
3/25/2014,34.4,ppb,32,24,100
3/26/2014,15.3,ppb,14,24,100
3/27/2014,24.9,ppb,23,24,100
3/29/2014,22,ppb,21,24,100
3/30/2014,26.7,ppb,25,24,100
4/1/2014,41.6,ppb,39,24,100
4/2/2014,21.2,ppb,20,23,96
4/3/2014,26.2,ppb,25,24,100
4/4/2014,18.2,ppb,17,24,100
4/5/2014,14.8,ppb,13,24,100
4/7/2014,10.9,ppb,9,22,92
4/8/2014,28.1,ppb,26,24,100
4/9/2014,41.8,ppb,39,24,100
4/10/2014,40.9,ppb,38,24,100
4/11/2014,39.8,ppb,37,24,100
4/12/2014,30.7,ppb,28,24,100
4/13/2014,7.9,ppb,7,24,100
4/14/2014,30.3,ppb,28,24,100
4/15/2014,37.9,ppb,35,24,100
4/16/2014,41.1,ppb,39,24,100
4/17/2014,25.2,ppb,24,24,100
4/18/2014,18.7,ppb,17,24,100
4/19/2014,15.7,ppb,14,24,100
4/21/2014,19.3,ppb,18,24,100
4/22/2014,28.9,ppb,26,24,100
4/23/2014,31.1,ppb,29,24,100
4/24/2014,26.1,ppb,25,24,100
4/25/2014,34.8,ppb,32,24,100
4/26/2014,9.6,ppb,8,24,100
4/27/2014,11.5,ppb,10,24,100
4/28/2014,18.9,ppb,17,24,100
