Date,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2014,10.8,ug/m3 LC,45,1,100
1/2/2014,8.1,ug/m3 LC,34,1,100
1/3/2014,12.3,ug/m3 LC,51,1,100
1/4/2014,3.8,ug/m3 LC,16,1,100
1/6/2014,2.7,ug/m3 LC,11,1,100
1/7/2014,10.3,ug/m3 LC,43,1,100
1/8/2014,11.6,ug/m3 LC,48,1,100
1/9/2014,11.2,ug/m3 LC,47,1,100
1/10/2014,3.9,ug/m3 LC,16,1,100
1/11/2014,5.7,ug/m3 LC,24,1,100
1/12/2014,3.5,ug/m3 LC,15,1,100
1/14/2014,3.5,ug/m3 LC,15,1,100
1/15/2014,4.2,ug/m3 LC,18,1,100
1/16/2014,2.4,ug/m3 LC,10,1,100
1/17/2014,7.6,ug/m3 LC,32,1,100
1/18/2014,8.5,ug/m3 LC,35,1,100
1/19/2014,10.7,ug/m3 LC,45,1,100
1/20/2014,3.7,ug/m3 LC,15,1,100
1/21/2014,5.8,ug/m3 LC,24,1,100
1/22/2014,8.6,ug/m3 LC,36,1,100
1/23/2014,6.1,ug/m3 LC,25,1,100
1/24/2014,13.2,ug/m3 LC,53,1,100
1/25/2014,8.7,ug/m3 LC,36,1,100
1/27/2014,8.4,ug/m3 LC,35,1,100
1/28/2014,6.1,ug/m3 LC,25,1,100
1/29/2014,4.6,ug/m3 LC,19,1,100
1/30/2014,5.1,ug/m3 LC,21,1,100
1/31/2014,3.1,ug/m3 LC,13,1,100
2/1/2014,2.6,ug/m3 LC,11,1,100
2/2/2014,3.5,ug/m3 LC,15,1,100
2/3/2014,4.2,ug/m3 LC,18,1,100
2/4/2014,5.4,ug/m3 LC,23,1,100
2/5/2014,8.9,ug/m3 LC,37,1,100
2/6/2014,13,ug/m3 LC,53,1,100
2/7/2014,10.6,ug/m3 LC,44,1,100
2/8/2014,8.5,ug/m3 LC,35,1,100
2/9/2014,7.9,ug/m3 LC,33,1,100
2/10/2014,2.7,ug/m3 LC,11,1,100
2/11/2014,4.4,ug/m3 LC,18,1,100
2/12/2014,2.6,ug/m3 LC,11,1,100
2/13/2014,2.6,ug/m3 LC,11,1,100
2/15/2014,3.2,ug/m3 LC,13,1,100
2/16/2014,2.7,ug/m3 LC,11,1,100
2/17/2014,4.6,ug/m3 LC,19,1,100
2/18/2014,3.9,ug/m3 LC,16,1,100
2/19/2014,6,ug/m3 LC,25,1,100
2/20/2014,2.5,ug/m3 LC,10,1,100
2/21/2014,3.5,ug/m3 LC,15,1,100
2/22/2014,6.4,ug/m3 LC,27,1,100
2/23/2014,4.9,ug/m3 LC,20,1,100
2/24/2014,6.2,ug/m3 LC,26,1,100
2/25/2014,4.4,ug/m3 LC,18,1,100
2/26/2014,10.5,ug/m3 LC,44,1,100
2/27/2014,5.3,ug/m3 LC,22,1,100
2/28/2014,3.2,ug/m3 LC,13,1,100
3/1/2014,3.2,ug/m3 LC,13,1,100
3/2/2014,2.6,ug/m3 LC,11,1,100
3/3/2014,4.6,ug/m3 LC,19,1,100
3/4/2014,5.4,ug/m3 LC,23,1,100
3/5/2014,3.1,ug/m3 LC,13,1,100
3/6/2014,5.1,ug/m3 LC,21,1,100
3/7/2014,3.1,ug/m3 LC,13,1,100
3/8/2014,1.9,ug/m3 LC,8,1,100
3/10/2014,5.2,ug/m3 LC,22,1,100
3/11/2014,2.7,ug/m3 LC,11,1,100
3/12/2014,2.7,ug/m3 LC,11,1,100
3/13/2014,6.1,ug/m3 LC,25,1,100
3/14/2014,5.4,ug/m3 LC,23,1,100
3/15/2014,4.6,ug/m3 LC,19,1,100
3/16/2014,1.7,ug/m3 LC,7,1,100
3/17/2014,2.8,ug/m3 LC,12,1,100
3/18/2014,5.7,ug/m3 LC,24,1,100
3/19/2014,13.6,ug/m3 LC,54,1,100
3/20/2014,6,ug/m3 LC,25,1,100
3/21/2014,3.8,ug/m3 LC,16,1,100
3/22/2014,4,ug/m3 LC,17,1,100
3/23/2014,7.6,ug/m3 LC,32,1,100
3/24/2014,4,ug/m3 LC,17,1,100
3/25/2014,5.7,ug/m3 LC,24,1,100
3/26/2014,2.7,ug/m3 LC,11,1,100
3/27/2014,4.3,ug/m3 LC,18,1,100
3/28/2014,3,ug/m3 LC,13,1,100
3/29/2014,3.7,ug/m3 LC,15,1,100
3/30/2014,3.7,ug/m3 LC,15,1,100
3/31/2014,6.1,ug/m3 LC,25,1,100
4/1/2014,3.1,ug/m3 LC,13,1,100
4/3/2014,1.8,ug/m3 LC,8,1,100
4/6/2014,2.9,ug/m3 LC,12,1,100
4/7/2014,2.5,ug/m3 LC,10,1,100
4/8/2014,2.4,ug/m3 LC,10,1,100
4/9/2014,3.7,ug/m3 LC,15,1,100
4/10/2014,2.6,ug/m3 LC,11,1,100
4/11/2014,4.2,ug/m3 LC,18,1,100
4/13/2014,3.8,ug/m3 LC,16,1,100
