Date,Daily Mean Pb Concentration,UNITS,PERCENT_COMPLETE
1/5/2014,0.001,ug/m3 LC,100
1/11/2014,0.002,ug/m3 LC,100
1/17/2014,0.003,ug/m3 LC,100
1/23/2014,0.003,ug/m3 LC,100
1/29/2014,0.002,ug/m3 LC,100
2/4/2014,0.001,ug/m3 LC,100
2/10/2014,0.001,ug/m3 LC,100
2/16/2014,0.002,ug/m3 LC,100
2/22/2014,0.002,ug/m3 LC,100
2/28/2014,0.001,ug/m3 LC,100
3/6/2014,0,ug/m3 LC,100
3/12/2014,0,ug/m3 LC,100
3/18/2014,0,ug/m3 LC,100
3/24/2014,0.002,ug/m3 LC,100
4/5/2014,0.003,ug/m3 LC,100
4/11/2014,0.004,ug/m3 LC,100
4/17/2014,0.003,ug/m3 LC,100
4/23/2014,0.003,ug/m3 LC,100
4/29/2014,0.002,ug/m3 LC,100
5/5/2014,0.002,ug/m3 LC,100
5/11/2014,0.002,ug/m3 LC,100
5/17/2014,0.003,ug/m3 LC,100
5/23/2014,0.002,ug/m3 LC,100
5/29/2014,0.002,ug/m3 LC,100
6/4/2014,0.005,ug/m3 LC,100
6/10/2014,0.004,ug/m3 LC,100
6/16/2014,0.002,ug/m3 LC,100
6/22/2014,0.001,ug/m3 LC,100
7/4/2014,0.006,ug/m3 LC,100
7/16/2014,0.002,ug/m3 LC,100
7/18/2014,0.002,ug/m3 LC,100
7/22/2014,0.002,ug/m3 LC,100
7/24/2014,0.001,ug/m3 LC,100
7/28/2014,0.001,ug/m3 LC,100
8/3/2014,0.001,ug/m3 LC,100
8/9/2014,0.002,ug/m3 LC,100
8/15/2014,0.001,ug/m3 LC,100
8/21/2014,0.002,ug/m3 LC,100
8/27/2014,0.001,ug/m3 LC,100
9/2/2014,0.002,ug/m3 LC,100
9/8/2014,0.002,ug/m3 LC,100
9/14/2014,0.003,ug/m3 LC,100
9/20/2014,0.002,ug/m3 LC,100
10/2/2014,0.001,ug/m3 LC,100
10/8/2014,0.003,ug/m3 LC,100
10/14/2014,0.002,ug/m3 LC,100
10/20/2014,0.002,ug/m3 LC,100
10/26/2014,0.002,ug/m3 LC,100
11/1/2014,0.002,ug/m3 LC,100
11/7/2014,0.002,ug/m3 LC,100
11/13/2014,0.002,ug/m3 LC,100
11/19/2014,0.003,ug/m3 LC,100
11/25/2014,0.002,ug/m3 LC,100
12/1/2014,0.005,ug/m3 LC,100
12/7/2014,0.001,ug/m3 LC,100
12/19/2014,0.001,ug/m3 LC,100
12/25/2014,0.001,ug/m3 LC,100
12/31/2014,0.004,ug/m3 LC,100
