Date,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
5/2/2018,4.3,ug/m3 LC,18,1,100
5/3/2018,6.1,ug/m3 LC,25,1,100
5/4/2018,2.1,ug/m3 LC,9,1,100
5/5/2018,2.5,ug/m3 LC,10,1,100
5/6/2018,4.4,ug/m3 LC,18,1,100
5/7/2018,4.2,ug/m3 LC,18,1,100
5/8/2018,5.5,ug/m3 LC,23,1,100
5/9/2018,4,ug/m3 LC,17,1,100
5/10/2018,3.8,ug/m3 LC,16,1,100
5/11/2018,2.7,ug/m3 LC,11,1,100
5/12/2018,5.6,ug/m3 LC,23,1,100
5/13/2018,6.5,ug/m3 LC,27,1,100
5/14/2018,3,ug/m3 LC,13,1,100
5/15/2018,4.4,ug/m3 LC,18,1,100
5/16/2018,3.3,ug/m3 LC,14,1,100
5/17/2018,5.3,ug/m3 LC,22,1,100
5/22/2018,6.2,ug/m3 LC,26,1,100
5/23/2018,7.7,ug/m3 LC,32,1,100
5/24/2018,5.4,ug/m3 LC,23,1,100
5/25/2018,7.3,ug/m3 LC,30,1,100
5/26/2018,8.1,ug/m3 LC,34,1,100
5/27/2018,4.4,ug/m3 LC,18,1,100
5/28/2018,4,ug/m3 LC,17,1,100
5/30/2018,2.9,ug/m3 LC,12,1,100
5/31/2018,6,ug/m3 LC,25,1,100
6/1/2018,4.8,ug/m3 LC,20,1,100
6/2/2018,5,ug/m3 LC,21,1,100
6/3/2018,6.9,ug/m3 LC,29,1,100
6/4/2018,7.7,ug/m3 LC,32,1,100
6/5/2018,8.6,ug/m3 LC,36,1,100
6/6/2018,8.3,ug/m3 LC,35,1,100
6/7/2018,11.4,ug/m3 LC,48,1,100
6/8/2018,6.6,ug/m3 LC,28,1,100
6/9/2018,10.2,ug/m3 LC,43,1,100
6/10/2018,6.1,ug/m3 LC,25,1,100
6/11/2018,4.7,ug/m3 LC,20,1,100
6/12/2018,5.6,ug/m3 LC,23,1,100
6/13/2018,11.4,ug/m3 LC,48,1,100
6/14/2018,11.8,ug/m3 LC,49,1,100
6/15/2018,6.5,ug/m3 LC,27,1,100
6/16/2018,6.6,ug/m3 LC,28,1,100
6/17/2018,4.4,ug/m3 LC,18,1,100
6/18/2018,4.3,ug/m3 LC,18,1,100
6/19/2018,4.1,ug/m3 LC,17,1,100
6/20/2018,3.7,ug/m3 LC,15,1,100
6/21/2018,7.4,ug/m3 LC,31,1,100
6/22/2018,4.6,ug/m3 LC,19,1,100
6/23/2018,3.8,ug/m3 LC,16,1,100
6/24/2018,6.3,ug/m3 LC,26,1,100
6/25/2018,5.3,ug/m3 LC,22,1,100
6/26/2018,5.2,ug/m3 LC,22,1,100
6/27/2018,8.6,ug/m3 LC,36,1,100
6/28/2018,5.8,ug/m3 LC,24,1,100
6/29/2018,5.2,ug/m3 LC,22,1,100
6/30/2018,4.6,ug/m3 LC,19,1,100
7/1/2018,5.3,ug/m3 LC,22,1,100
7/2/2018,5.1,ug/m3 LC,21,1,100
7/3/2018,5.8,ug/m3 LC,24,1,100
7/4/2018,6.2,ug/m3 LC,26,1,100
7/5/2018,6.6,ug/m3 LC,28,1,100
7/6/2018,6.2,ug/m3 LC,26,1,100
7/7/2018,6.1,ug/m3 LC,25,1,100
7/8/2018,5.2,ug/m3 LC,22,1,100
7/9/2018,5.7,ug/m3 LC,24,1,100
7/10/2018,6.6,ug/m3 LC,28,1,100
7/11/2018,4.6,ug/m3 LC,19,1,100
7/12/2018,3,ug/m3 LC,13,1,100
7/13/2018,2.4,ug/m3 LC,10,1,100
7/14/2018,3,ug/m3 LC,13,1,100
7/15/2018,2.8,ug/m3 LC,12,1,100
7/17/2018,5.5,ug/m3 LC,23,1,100
7/18/2018,3.2,ug/m3 LC,13,1,100
7/19/2018,5.5,ug/m3 LC,23,1,100
7/20/2018,5,ug/m3 LC,21,1,100
7/21/2018,5.2,ug/m3 LC,22,1,100
7/22/2018,6.3,ug/m3 LC,26,1,100
7/23/2018,8.4,ug/m3 LC,35,1,100
7/24/2018,4.3,ug/m3 LC,18,1,100
7/25/2018,4.2,ug/m3 LC,18,1,100
7/26/2018,4.1,ug/m3 LC,17,1,100
7/27/2018,2.4,ug/m3 LC,10,1,100
7/28/2018,4.7,ug/m3 LC,20,1,100
7/29/2018,6.3,ug/m3 LC,26,1,100
7/30/2018,7.1,ug/m3 LC,30,1,100
7/31/2018,7.2,ug/m3 LC,30,1,100
8/1/2018,9.7,ug/m3 LC,40,1,100
8/2/2018,9.4,ug/m3 LC,39,1,100
8/3/2018,5.3,ug/m3 LC,22,1,100
8/4/2018,5.7,ug/m3 LC,24,1,100
8/5/2018,6.1,ug/m3 LC,25,1,100
8/6/2018,5.1,ug/m3 LC,21,1,100
8/7/2018,4.1,ug/m3 LC,17,1,100
8/8/2018,5.1,ug/m3 LC,21,1,100
8/9/2018,4.4,ug/m3 LC,18,1,100
8/10/2018,3.7,ug/m3 LC,15,1,100
8/11/2018,3.2,ug/m3 LC,13,1,100
8/12/2018,3.2,ug/m3 LC,13,1,100
8/13/2018,4.8,ug/m3 LC,20,1,100
8/14/2018,8.8,ug/m3 LC,37,1,100
8/15/2018,7,ug/m3 LC,29,1,100
8/16/2018,6.8,ug/m3 LC,28,1,100
8/17/2018,4.5,ug/m3 LC,19,1,100
8/18/2018,2.8,ug/m3 LC,12,1,100
8/19/2018,12.1,ug/m3 LC,51,1,100
8/20/2018,9.3,ug/m3 LC,39,1,100
8/21/2018,6.2,ug/m3 LC,26,1,100
8/22/2018,4,ug/m3 LC,17,1,100
8/23/2018,3.8,ug/m3 LC,16,1,100
8/24/2018,3.1,ug/m3 LC,13,1,100
8/26/2018,2.8,ug/m3 LC,12,1,100
8/27/2018,1.7,ug/m3 LC,7,1,100
8/28/2018,3.1,ug/m3 LC,13,1,100
8/29/2018,2,ug/m3 LC,8,1,100
8/30/2018,6.1,ug/m3 LC,25,1,100
8/31/2018,3.7,ug/m3 LC,15,1,100
9/1/2018,1.3,ug/m3 LC,5,1,100
9/2/2018,2.1,ug/m3 LC,9,1,100
9/3/2018,1.9,ug/m3 LC,8,1,100
9/4/2018,1.6,ug/m3 LC,7,1,100
9/5/2018,2.3,ug/m3 LC,10,1,100
9/6/2018,1,ug/m3 LC,4,1,100
9/7/2018,2.1,ug/m3 LC,9,1,100
9/8/2018,0.9,ug/m3 LC,4,1,100
9/9/2018,1.2,ug/m3 LC,5,1,100
9/10/2018,2.6,ug/m3 LC,11,1,100
9/11/2018,2.2,ug/m3 LC,9,1,100
9/12/2018,2.3,ug/m3 LC,10,1,100
9/13/2018,2.6,ug/m3 LC,11,1,100
9/14/2018,2.9,ug/m3 LC,12,1,100
9/15/2018,4.2,ug/m3 LC,18,1,100
9/16/2018,4.6,ug/m3 LC,19,1,100
9/17/2018,4.5,ug/m3 LC,19,1,100
9/18/2018,4.3,ug/m3 LC,18,1,100
9/19/2018,2.8,ug/m3 LC,12,1,100
9/20/2018,1.3,ug/m3 LC,5,1,100
9/21/2018,3.1,ug/m3 LC,13,1,100
9/22/2018,3.4,ug/m3 LC,14,1,100
9/23/2018,3.9,ug/m3 LC,16,1,100
9/24/2018,1.5,ug/m3 LC,6,1,100
9/25/2018,3.2,ug/m3 LC,13,1,100
9/26/2018,3.8,ug/m3 LC,16,1,100
9/27/2018,3.5,ug/m3 LC,15,1,100
9/28/2018,3.3,ug/m3 LC,14,1,100
9/29/2018,5.4,ug/m3 LC,23,1,100
9/30/2018,2.4,ug/m3 LC,10,1,100
