Date,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2022,0.1,ppm,1,19,79
1/2/2022,0.2,ppm,2,24,100
1/3/2022,0.9,ppm,10,24,100
1/4/2022,1,ppm,11,17,71
1/5/2022,0.3,ppm,3,10,42
1/6/2022,0.4,ppm,5,24,100
1/7/2022,0.6,ppm,7,24,100
1/8/2022,0.6,ppm,7,24,100
1/9/2022,0.3,ppm,3,24,100
1/10/2022,0.4,ppm,5,18,75
1/11/2022,0.7,ppm,8,18,75
1/12/2022,0.5,ppm,6,24,100
1/13/2022,0.6,ppm,7,24,100
1/14/2022,0.7,ppm,8,24,100
1/15/2022,0.4,ppm,5,24,100
1/16/2022,0.5,ppm,6,24,100
1/17/2022,0.5,ppm,6,24,100
1/18/2022,0.9,ppm,10,17,71
1/19/2022,0.2,ppm,2,24,100
1/20/2022,0.4,ppm,5,24,100
1/21/2022,0.6,ppm,7,24,100
1/22/2022,0.3,ppm,3,24,100
1/23/2022,0.4,ppm,5,24,100
1/24/2022,0.4,ppm,5,18,75
1/25/2022,0.7,ppm,8,24,100
1/26/2022,0.1,ppm,1,24,100
1/27/2022,0.6,ppm,7,24,100
1/28/2022,0.3,ppm,3,24,100
1/29/2022,0.6,ppm,7,24,100
1/30/2022,0.7,ppm,8,24,100
1/31/2022,0.8,ppm,9,18,75
2/1/2022,0.7,ppm,8,24,100
2/2/2022,0.2,ppm,2,24,100
2/3/2022,0.3,ppm,3,24,100
2/4/2022,0.5,ppm,6,24,100
2/5/2022,0.5,ppm,6,24,100
2/6/2022,0.6,ppm,7,24,100
2/7/2022,0.4,ppm,5,17,71
2/8/2022,0.7,ppm,8,24,100
2/9/2022,0.5,ppm,6,24,100
2/10/2022,0.3,ppm,3,18,75
2/11/2022,0.3,ppm,3,24,100
2/12/2022,0.4,ppm,5,24,100
2/13/2022,0.5,ppm,6,24,100
2/14/2022,0.4,ppm,5,17,71
2/15/2022,0.4,ppm,5,24,100
2/16/2022,0.5,ppm,6,24,100
2/17/2022,0.2,ppm,2,24,100
2/18/2022,0.6,ppm,7,24,100
2/19/2022,0.3,ppm,3,24,100
2/20/2022,0.5,ppm,6,24,100
2/21/2022,0.3,ppm,3,24,100
2/22/2022,0.2,ppm,2,10,42
2/23/2022,0.2,ppm,2,20,83
2/24/2022,0.3,ppm,3,24,100
2/25/2022,0.4,ppm,5,24,100
2/26/2022,0.3,ppm,3,24,100
2/27/2022,0.2,ppm,2,24,100
2/28/2022,0.3,ppm,3,24,100
3/1/2022,0.3,ppm,3,17,71
3/2/2022,0.3,ppm,3,24,100
3/3/2022,0.3,ppm,3,24,100
3/4/2022,0.2,ppm,2,24,100
3/5/2022,0.2,ppm,2,24,100
3/6/2022,0.4,ppm,5,24,100
3/7/2022,0.4,ppm,5,18,75
3/8/2022,0.2,ppm,2,24,100
3/9/2022,0.4,ppm,5,24,100
3/10/2022,0.2,ppm,2,17,71
3/11/2022,0.2,ppm,2,24,100
3/12/2022,0.3,ppm,3,24,100
3/13/2022,0.5,ppm,6,24,100
3/14/2022,0.2,ppm,2,18,75
3/15/2022,0.4,ppm,5,24,100
3/16/2022,0.4,ppm,5,24,100
3/17/2022,0.2,ppm,2,24,100
3/18/2022,0.3,ppm,3,24,100
3/19/2022,0.3,ppm,3,24,100
3/20/2022,0.2,ppm,2,24,100
3/21/2022,0.1,ppm,1,16,67
3/22/2022,0.2,ppm,2,24,100
3/23/2022,0.2,ppm,2,24,100
3/24/2022,0.3,ppm,3,24,100
3/25/2022,0.2,ppm,2,24,100
3/26/2022,0.3,ppm,3,24,100
3/27/2022,0.3,ppm,3,24,100
3/28/2022,0.3,ppm,3,10,42
3/30/2022,0.1,ppm,1,3,13
3/31/2022,0.2,ppm,2,7,29
4/5/2022,0.2,ppm,2,6,25
4/6/2022,0.2,ppm,2,24,100
4/7/2022,0.2,ppm,2,24,100
4/8/2022,0.3,ppm,3,24,100
4/9/2022,0.3,ppm,3,24,100
4/10/2022,0.2,ppm,2,24,100
4/11/2022,0.3,ppm,3,16,67
4/12/2022,0.2,ppm,2,24,100
4/13/2022,0.2,ppm,2,24,100
4/14/2022,0.3,ppm,3,24,100
4/15/2022,0.3,ppm,3,24,100
4/16/2022,0.3,ppm,3,24,100
4/17/2022,0.2,ppm,2,24,100
4/18/2022,0.2,ppm,2,15,63
4/19/2022,0.2,ppm,2,24,100
4/20/2022,0.1,ppm,1,7,29
4/21/2022,0.1,ppm,1,3,13
4/22/2022,0.2,ppm,2,24,100
4/23/2022,0.2,ppm,2,24,100
4/24/2022,0.2,ppm,2,24,100
4/25/2022,0.1,ppm,1,18,75
4/26/2022,0.2,ppm,2,24,100
4/27/2022,0.2,ppm,2,24,100
4/28/2022,0.2,ppm,2,24,100
4/29/2022,0.2,ppm,2,24,100
4/30/2022,0.2,ppm,2,24,100
5/1/2022,0.2,ppm,2,24,100
5/2/2022,0.1,ppm,1,18,75
5/3/2022,0.2,ppm,2,24,100
5/4/2022,0.1,ppm,1,24,100
5/5/2022,0.2,ppm,2,24,100
5/6/2022,0.2,ppm,2,24,100
5/7/2022,0.2,ppm,2,24,100
5/8/2022,0.1,ppm,1,24,100
5/9/2022,0.1,ppm,1,17,71
5/10/2022,0.1,ppm,1,8,33
5/11/2022,0.1,ppm,1,2,8
5/12/2022,0.1,ppm,1,24,100
5/13/2022,0.1,ppm,1,24,100
5/14/2022,0.1,ppm,1,24,100
5/15/2022,0.1,ppm,1,24,100
5/16/2022,0.2,ppm,2,17,71
5/17/2022,0.2,ppm,2,24,100
5/18/2022,0.2,ppm,2,24,100
5/19/2022,0.3,ppm,3,24,100
5/20/2022,0.1,ppm,1,24,100
5/21/2022,0.1,ppm,1,24,100
5/22/2022,0.1,ppm,1,24,100
5/23/2022,0.1,ppm,1,18,75
5/24/2022,0.1,ppm,1,24,100
5/25/2022,0.1,ppm,1,24,100
5/26/2022,0.1,ppm,1,24,100
5/27/2022,0.2,ppm,2,24,100
5/28/2022,0.2,ppm,2,24,100
5/29/2022,0.1,ppm,1,24,100
5/30/2022,0.1,ppm,1,24,100
5/31/2022,0.1,ppm,1,18,75
6/1/2022,0.1,ppm,1,24,100
6/2/2022,0.1,ppm,1,24,100
6/3/2022,0.2,ppm,2,24,100
6/4/2022,0.2,ppm,2,24,100
6/5/2022,0.1,ppm,1,24,100
6/6/2022,0.1,ppm,1,18,75
6/7/2022,0.1,ppm,1,24,100
6/8/2022,0.1,ppm,1,7,29
6/10/2022,0.3,ppm,3,11,46
6/11/2022,0.3,ppm,3,24,100
6/12/2022,0.2,ppm,2,24,100
6/13/2022,0.2,ppm,2,17,71
6/14/2022,0.2,ppm,2,24,100
6/15/2022,0.2,ppm,2,24,100
6/16/2022,0.2,ppm,2,17,71
6/17/2022,0.2,ppm,2,24,100
6/18/2022,0.2,ppm,2,24,100
6/19/2022,0.2,ppm,2,24,100
6/20/2022,0.2,ppm,2,24,100
6/21/2022,0.2,ppm,2,17,71
6/22/2022,0.2,ppm,2,24,100
6/23/2022,0.3,ppm,3,24,100
6/24/2022,0.3,ppm,3,24,100
6/25/2022,0.2,ppm,2,24,100
6/26/2022,0.2,ppm,2,24,100
6/27/2022,0.2,ppm,2,17,71
6/28/2022,0.2,ppm,2,17,71
6/29/2022,0.2,ppm,2,16,67
6/30/2022,0.1,ppm,1,18,75
7/1/2022,0.2,ppm,2,15,63
7/2/2022,0.2,ppm,2,24,100
7/3/2022,0.2,ppm,2,24,100
7/4/2022,0.2,ppm,2,24,100
7/5/2022,0.2,ppm,2,24,100
7/6/2022,0.2,ppm,2,18,75
7/7/2022,0.2,ppm,2,24,100
7/8/2022,0.2,ppm,2,24,100
7/9/2022,0.2,ppm,2,24,100
