Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
6/2/2020,12.2,ppb,11,24,100
6/3/2020,11,ppb,10,24,100
6/4/2020,19.5,ppb,18,24,100
6/5/2020,16,ppb,15,24,100
6/6/2020,10.8,ppb,9,24,100
6/7/2020,5.9,ppb,5,20,83
6/14/2020,3.7,ppb,3,20,83
6/18/2020,18.4,ppb,17,24,100
6/19/2020,23.1,ppb,22,24,100
6/20/2020,14.1,ppb,13,24,100
6/21/2020,16.6,ppb,15,24,100
6/23/2020,6.3,ppb,6,23,96
6/24/2020,10.7,ppb,9,24,100
6/25/2020,14.4,ppb,13,24,100
6/26/2020,23.1,ppb,22,24,100
6/27/2020,7.7,ppb,7,24,100
6/28/2020,4,ppb,4,20,83
6/29/2020,7.2,ppb,7,22,92
6/30/2020,7.9,ppb,7,20,83
7/1/2020,16,ppb,15,24,100
7/2/2020,5.3,ppb,5,24,100
7/3/2020,8.7,ppb,8,24,100
7/4/2020,8.7,ppb,8,24,100
7/5/2020,3.7,ppb,3,20,83
7/6/2020,12.3,ppb,11,23,96
7/7/2020,10.4,ppb,9,18,75
7/8/2020,21.4,ppb,20,24,100
7/9/2020,20.3,ppb,19,24,100
7/10/2020,17.6,ppb,16,24,100
7/11/2020,14.6,ppb,13,24,100
7/12/2020,11.8,ppb,10,24,100
7/13/2020,9.6,ppb,8,18,75
7/14/2020,15.4,ppb,14,24,100
7/15/2020,8.8,ppb,8,24,100
7/16/2020,16.7,ppb,15,24,100
7/17/2020,10.2,ppb,9,24,100
7/18/2020,4.3,ppb,4,24,100
7/19/2020,7.7,ppb,7,20,83
7/20/2020,14,ppb,13,23,96
7/21/2020,12.2,ppb,11,24,100
7/22/2020,12.8,ppb,11,24,100
7/23/2020,9.5,ppb,8,24,100
7/24/2020,12,ppb,11,24,100
7/25/2020,5,ppb,5,24,100
7/26/2020,6.1,ppb,6,20,83
7/27/2020,12.9,ppb,11,21,88
7/30/2020,12,ppb,11,22,92
7/31/2020,12.4,ppb,11,24,100
8/1/2020,10.1,ppb,9,24,100
8/2/2020,13.6,ppb,12,24,100
8/3/2020,12,ppb,11,18,75
8/4/2020,22.8,ppb,21,24,100
8/5/2020,19.1,ppb,18,24,100
8/6/2020,17.2,ppb,16,21,88
8/7/2020,6.9,ppb,6,24,100
8/8/2020,12.3,ppb,11,24,100
8/9/2020,8.7,ppb,8,24,100
8/10/2020,17.2,ppb,16,18,75
8/11/2020,17.7,ppb,16,24,100
8/12/2020,15.7,ppb,14,24,100
8/13/2020,13,ppb,12,24,100
8/14/2020,16.3,ppb,15,24,100
8/15/2020,10.3,ppb,9,24,100
8/16/2020,5.7,ppb,5,24,100
8/21/2020,17.4,ppb,16,24,100
