Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
6/2/2017,16.9,ppb,15,20,83
6/3/2017,14.3,ppb,13,24,100
6/4/2017,5.4,ppb,5,19,79
6/5/2017,16.9,ppb,15,24,100
6/6/2017,16.4,ppb,15,24,100
6/7/2017,16.8,ppb,15,24,100
6/8/2017,15.3,ppb,14,24,100
6/9/2017,20.6,ppb,19,24,100
6/10/2017,15.9,ppb,14,24,100
6/11/2017,9.9,ppb,8,19,79
6/12/2017,25.5,ppb,24,24,100
6/13/2017,16.3,ppb,15,24,100
6/14/2017,19,ppb,18,24,100
6/15/2017,19.8,ppb,18,24,100
6/16/2017,36.9,ppb,34,24,100
6/17/2017,24.1,ppb,23,24,100
6/18/2017,9.4,ppb,8,19,79
6/19/2017,11.9,ppb,10,24,100
6/20/2017,9.9,ppb,8,24,100
6/21/2017,11.5,ppb,10,24,100
6/22/2017,19,ppb,18,24,100
6/23/2017,16.2,ppb,15,24,100
6/24/2017,8.9,ppb,8,24,100
6/25/2017,10.6,ppb,9,19,79
6/26/2017,12.9,ppb,11,24,100
6/27/2017,13.7,ppb,12,24,100
6/28/2017,26.5,ppb,25,24,100
6/29/2017,14.2,ppb,13,20,83
6/30/2017,19.4,ppb,18,24,100
7/1/2017,21.4,ppb,20,24,100
7/2/2017,16.5,ppb,15,19,79
7/3/2017,17.2,ppb,16,24,100
7/4/2017,7.7,ppb,7,24,100
7/5/2017,14.7,ppb,13,24,100
7/6/2017,21.6,ppb,20,24,100
7/7/2017,19.6,ppb,18,24,100
7/8/2017,12.8,ppb,11,24,100
7/9/2017,5,ppb,5,19,79
7/10/2017,19,ppb,18,24,100
7/12/2017,9,ppb,8,24,100
7/13/2017,13,ppb,12,24,100
7/14/2017,10.5,ppb,9,24,100
7/15/2017,5.7,ppb,5,24,100
7/18/2017,17.9,ppb,16,24,100
7/19/2017,20.3,ppb,19,24,100
7/20/2017,12.9,ppb,11,24,100
7/21/2017,7.9,ppb,7,24,100
7/22/2017,6.7,ppb,6,24,100
7/23/2017,6.5,ppb,6,19,79
7/24/2017,15.4,ppb,14,24,100
7/25/2017,10.7,ppb,9,24,100
7/26/2017,14.8,ppb,13,24,100
7/27/2017,5.7,ppb,5,19,79
7/28/2017,14.1,ppb,13,24,100
7/29/2017,6.6,ppb,6,24,100
7/30/2017,7.7,ppb,7,19,79
7/31/2017,14.9,ppb,13,21,88
8/1/2017,14.6,ppb,13,19,79
8/2/2017,11.8,ppb,10,24,100
8/3/2017,11,ppb,10,24,100
8/4/2017,16.1,ppb,15,20,83
8/5/2017,8.3,ppb,8,24,100
8/6/2017,9.2,ppb,8,24,100
8/7/2017,14.6,ppb,13,24,100
8/9/2017,6.6,ppb,6,24,100
8/10/2017,7.3,ppb,7,24,100
8/11/2017,20,ppb,19,24,100
8/12/2017,7.8,ppb,7,24,100
8/13/2017,7.2,ppb,7,19,79
8/14/2017,15.5,ppb,14,24,100
8/15/2017,16.5,ppb,15,24,100
8/16/2017,25.7,ppb,24,24,100
8/17/2017,22,ppb,21,24,100
8/18/2017,21,ppb,20,24,100
8/19/2017,9.9,ppb,8,23,96
8/20/2017,7.1,ppb,7,24,100
8/21/2017,12.1,ppb,11,19,79
8/22/2017,17.6,ppb,16,24,100
8/23/2017,14.8,ppb,13,24,100
8/24/2017,12.7,ppb,11,19,79
8/25/2017,11.1,ppb,10,24,100
8/26/2017,9.5,ppb,8,24,100
8/27/2017,10.3,ppb,9,19,79
8/28/2017,14.6,ppb,13,24,100
8/29/2017,16.8,ppb,15,24,100
8/30/2017,21.3,ppb,20,19,79
8/31/2017,22.1,ppb,21,20,83
9/1/2017,26.6,ppb,25,24,100
9/2/2017,14.4,ppb,13,24,100
9/3/2017,7.1,ppb,7,19,79
9/4/2017,11.9,ppb,10,24,100
9/5/2017,23.4,ppb,22,24,100
9/6/2017,9.4,ppb,8,24,100
9/7/2017,11.3,ppb,10,19,79
9/8/2017,11.4,ppb,10,24,100
9/9/2017,17.9,ppb,16,24,100
9/10/2017,13.5,ppb,12,19,79
9/11/2017,21.6,ppb,20,24,100
9/12/2017,25.5,ppb,24,24,100
9/14/2017,27.7,ppb,25,24,100
9/15/2017,20.6,ppb,19,24,100
9/16/2017,22.5,ppb,21,24,100
9/17/2017,13.2,ppb,12,24,100
9/18/2017,22.5,ppb,21,19,79
9/19/2017,20.1,ppb,19,24,100
9/20/2017,20.9,ppb,19,24,100
9/21/2017,26.9,ppb,25,24,100
9/22/2017,20.2,ppb,19,24,100
9/23/2017,17.3,ppb,16,24,100
9/24/2017,8.9,ppb,8,19,79
9/25/2017,11.9,ppb,10,24,100
9/26/2017,15.6,ppb,14,24,100
9/27/2017,20.7,ppb,19,24,100
9/28/2017,13,ppb,12,21,88
9/29/2017,17.2,ppb,16,24,100
9/30/2017,17.5,ppb,16,24,100
10/1/2017,25.4,ppb,24,19,79
10/2/2017,22.6,ppb,21,24,100
10/3/2017,23.7,ppb,22,24,100
10/4/2017,13.1,ppb,12,24,100
10/5/2017,19.6,ppb,18,24,100
10/6/2017,15.2,ppb,14,24,100
10/7/2017,22.4,ppb,21,24,100
10/8/2017,19.3,ppb,18,19,79
10/9/2017,27.6,ppb,25,24,100
10/10/2017,21.4,ppb,20,24,100
10/11/2017,30.5,ppb,28,24,100
10/12/2017,22.6,ppb,21,24,100
10/13/2017,27.1,ppb,25,24,100
10/14/2017,21.1,ppb,20,24,100
10/15/2017,17.6,ppb,16,19,79
10/16/2017,31.6,ppb,29,24,100
10/17/2017,30,ppb,28,24,100
10/18/2017,32,ppb,30,24,100
