Date,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
4/1/2012,36,ug/m3 SC,33,1,100
4/2/2012,21,ug/m3 SC,19,1,100
4/3/2012,7,ug/m3 SC,6,1,100
4/4/2012,14,ug/m3 SC,13,1,100
4/5/2012,88,ug/m3 SC,67,1,100
4/6/2012,30,ug/m3 SC,28,1,100
4/7/2012,35,ug/m3 SC,32,1,100
4/8/2012,32,ug/m3 SC,30,1,100
4/9/2012,30,ug/m3 SC,28,1,100
4/10/2012,33,ug/m3 SC,31,1,100
4/11/2012,26,ug/m3 SC,24,1,100
4/21/2012,13,ug/m3 SC,12,1,100
4/22/2012,17,ug/m3 SC,16,1,100
4/23/2012,37,ug/m3 SC,34,1,100
4/24/2012,29,ug/m3 SC,27,1,100
4/25/2012,24,ug/m3 SC,22,1,100
4/26/2012,141,ug/m3 SC,94,1,100
4/27/2012,20,ug/m3 SC,19,1,100
4/28/2012,26,ug/m3 SC,24,1,100
4/29/2012,20,ug/m3 SC,19,1,100
4/30/2012,22,ug/m3 SC,20,1,100
5/1/2012,26,ug/m3 SC,24,1,100
5/2/2012,23,ug/m3 SC,21,1,100
5/3/2012,26,ug/m3 SC,24,1,100
5/4/2012,23,ug/m3 SC,21,1,100
5/5/2012,19,ug/m3 SC,18,1,100
5/6/2012,23,ug/m3 SC,21,1,100
5/7/2012,54,ug/m3 SC,50,1,100
5/8/2012,23,ug/m3 SC,21,1,100
5/9/2012,69,ug/m3 SC,58,1,100
5/10/2012,20,ug/m3 SC,19,1,100
5/11/2012,21,ug/m3 SC,19,1,100
5/12/2012,20,ug/m3 SC,19,1,100
5/13/2012,16,ug/m3 SC,15,1,100
5/14/2012,16,ug/m3 SC,15,1,100
5/15/2012,15,ug/m3 SC,14,1,100
5/16/2012,22,ug/m3 SC,20,1,100
5/17/2012,24,ug/m3 SC,22,1,100
5/18/2012,34,ug/m3 SC,31,1,100
5/19/2012,32,ug/m3 SC,30,1,100
5/20/2012,27,ug/m3 SC,25,1,100
5/21/2012,34,ug/m3 SC,31,1,100
5/22/2012,31,ug/m3 SC,29,1,100
5/23/2012,51,ug/m3 SC,47,1,100
5/24/2012,49,ug/m3 SC,45,1,100
5/25/2012,55,ug/m3 SC,51,1,100
5/26/2012,70,ug/m3 SC,58,1,100
5/27/2012,18,ug/m3 SC,17,1,100
5/28/2012,18,ug/m3 SC,17,1,100
5/29/2012,25,ug/m3 SC,23,1,100
5/30/2012,20,ug/m3 SC,19,1,100
5/31/2012,36,ug/m3 SC,33,1,100
6/1/2012,41,ug/m3 SC,38,1,100
6/2/2012,38,ug/m3 SC,35,1,100
6/3/2012,33,ug/m3 SC,31,1,100
6/4/2012,28,ug/m3 SC,26,1,100
6/5/2012,17,ug/m3 SC,16,1,100
6/6/2012,20,ug/m3 SC,19,1,100
6/7/2012,25,ug/m3 SC,23,1,100
6/8/2012,26,ug/m3 SC,24,1,100
6/9/2012,21,ug/m3 SC,19,1,100
6/10/2012,26,ug/m3 SC,24,1,100
6/11/2012,28,ug/m3 SC,26,1,100
6/12/2012,45,ug/m3 SC,42,1,100
6/13/2012,34,ug/m3 SC,31,1,100
6/14/2012,23,ug/m3 SC,21,1,100
6/15/2012,27,ug/m3 SC,25,1,100
6/16/2012,95,ug/m3 SC,71,1,100
