Date,Daily Mean Pb Concentration,UNITS,PERCENT_COMPLETE
1/6/2015,0.002,ug/m3 LC,100
1/12/2015,0.001,ug/m3 LC,100
1/18/2015,0.001,ug/m3 LC,100
1/24/2015,0.001,ug/m3 LC,100
2/5/2015,0.003,ug/m3 LC,100
2/11/2015,0.001,ug/m3 LC,100
2/17/2015,0.001,ug/m3 LC,100
2/23/2015,0.002,ug/m3 LC,100
3/1/2015,0.004,ug/m3 LC,100
3/7/2015,0.002,ug/m3 LC,100
3/13/2015,0.003,ug/m3 LC,100
3/19/2015,0.001,ug/m3 LC,100
3/25/2015,0.002,ug/m3 LC,100
3/31/2015,0.002,ug/m3 LC,100
4/6/2015,0.001,ug/m3 LC,100
4/12/2015,0.002,ug/m3 LC,100
4/18/2015,0.002,ug/m3 LC,100
4/24/2015,0.001,ug/m3 LC,100
4/30/2015,0.006,ug/m3 LC,100
5/6/2015,0.002,ug/m3 LC,100
5/12/2015,0.002,ug/m3 LC,100
5/18/2015,0.002,ug/m3 LC,100
5/24/2015,0.001,ug/m3 LC,100
5/30/2015,0.002,ug/m3 LC,100
6/5/2015,0.002,ug/m3 LC,100
6/11/2015,0.002,ug/m3 LC,100
6/17/2015,0.002,ug/m3 LC,100
7/5/2015,0.002,ug/m3 LC,100
7/11/2015,0.003,ug/m3 LC,100
7/17/2015,0.003,ug/m3 LC,100
7/23/2015,0.002,ug/m3 LC,100
7/29/2015,0.003,ug/m3 LC,100
8/4/2015,0.002,ug/m3 LC,100
8/10/2015,0.002,ug/m3 LC,100
8/16/2015,0.003,ug/m3 LC,100
8/22/2015,0.002,ug/m3 LC,100
8/28/2015,0.002,ug/m3 LC,100
9/3/2015,0.002,ug/m3 LC,100
9/9/2015,0.002,ug/m3 LC,100
9/15/2015,0.002,ug/m3 LC,100
9/21/2015,0.004,ug/m3 LC,100
9/27/2015,0.006,ug/m3 LC,100
10/9/2015,0.002,ug/m3 LC,100
10/15/2015,0.004,ug/m3 LC,100
10/21/2015,0.009,ug/m3 LC,100
10/27/2015,0.002,ug/m3 LC,100
11/2/2015,0.002,ug/m3 LC,100
11/8/2015,0.003,ug/m3 LC,100
11/14/2015,0.004,ug/m3 LC,100
11/20/2015,0.005,ug/m3 LC,100
11/26/2015,0.002,ug/m3 LC,100
12/2/2015,0.003,ug/m3 LC,100
12/8/2015,0.006,ug/m3 LC,100
12/14/2015,0.002,ug/m3 LC,100
12/20/2015,0.005,ug/m3 LC,100
12/26/2015,0.003,ug/m3 LC,100
