Date,Daily Mean Pb Concentration,UNITS,PERCENT_COMPLETE
1/1/2016,0.002,ug/m3 LC,100
1/7/2016,0.002,ug/m3 LC,100
1/13/2016,0.003,ug/m3 LC,100
1/19/2016,0.002,ug/m3 LC,100
1/25/2016,0.001,ug/m3 LC,100
1/31/2016,0.002,ug/m3 LC,100
2/6/2016,0.002,ug/m3 LC,100
2/12/2016,0.003,ug/m3 LC,100
2/18/2016,0.004,ug/m3 LC,100
2/24/2016,0.001,ug/m3 LC,100
2/27/2016,0.003,ug/m3 LC,100
3/1/2016,0.006,ug/m3 LC,100
3/7/2016,0.003,ug/m3 LC,100
3/13/2016,0.002,ug/m3 LC,100
3/19/2016,0.003,ug/m3 LC,100
3/25/2016,0.002,ug/m3 LC,100
3/31/2016,0.001,ug/m3 LC,100
4/6/2016,0.001,ug/m3 LC,100
4/12/2016,0.001,ug/m3 LC,100
4/18/2016,0.001,ug/m3 LC,100
4/24/2016,0.001,ug/m3 LC,100
4/30/2016,0.001,ug/m3 LC,100
5/6/2016,0.002,ug/m3 LC,100
5/12/2016,0.001,ug/m3 LC,100
5/18/2016,0,ug/m3 LC,100
5/24/2016,0.002,ug/m3 LC,100
5/30/2016,0.001,ug/m3 LC,100
6/5/2016,0.001,ug/m3 LC,100
6/11/2016,0.001,ug/m3 LC,100
6/17/2016,0.001,ug/m3 LC,100
6/23/2016,0.001,ug/m3 LC,100
7/5/2016,0.002,ug/m3 LC,100
7/11/2016,0.001,ug/m3 LC,100
7/17/2016,0.001,ug/m3 LC,100
7/23/2016,0.001,ug/m3 LC,100
8/4/2016,0.001,ug/m3 LC,100
8/10/2016,0.001,ug/m3 LC,100
8/16/2016,0.001,ug/m3 LC,100
8/22/2016,0.001,ug/m3 LC,100
8/28/2016,0,ug/m3 LC,100
9/3/2016,0.001,ug/m3 LC,100
9/9/2016,0.001,ug/m3 LC,100
9/15/2016,0.001,ug/m3 LC,100
9/27/2016,0.001,ug/m3 LC,100
10/3/2016,0.001,ug/m3 LC,100
10/9/2016,0.001,ug/m3 LC,100
10/15/2016,0.001,ug/m3 LC,100
10/21/2016,0.002,ug/m3 LC,100
10/27/2016,0.001,ug/m3 LC,100
11/2/2016,0.002,ug/m3 LC,100
11/8/2016,0.001,ug/m3 LC,100
11/14/2016,0.001,ug/m3 LC,100
11/20/2016,0.002,ug/m3 LC,100
11/26/2016,0.001,ug/m3 LC,100
12/2/2016,0.001,ug/m3 LC,100
12/8/2016,0.006,ug/m3 LC,100
12/14/2016,0.001,ug/m3 LC,100
12/20/2016,0.002,ug/m3 LC,100
12/26/2016,0.001,ug/m3 LC,100
