Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2018,36.3,ppb,34,24,100
1/2/2018,39.8,ppb,37,24,100
1/3/2018,41,ppb,39,24,100
1/4/2018,42.8,ppb,40,24,100
1/5/2018,43.8,ppb,41,24,100
1/6/2018,40.4,ppb,38,24,100
1/7/2018,18.3,ppb,17,19,79
1/8/2018,40.5,ppb,38,24,100
1/9/2018,39.8,ppb,37,24,100
1/10/2018,28.9,ppb,26,24,100
1/11/2018,13.7,ppb,12,24,100
1/12/2018,45.2,ppb,42,24,100
1/13/2018,34.3,ppb,32,24,100
1/14/2018,32.2,ppb,30,19,79
1/15/2018,34.1,ppb,32,24,100
1/16/2018,33.9,ppb,31,24,100
1/17/2018,39.1,ppb,37,24,100
1/18/2018,39.2,ppb,37,24,100
1/19/2018,45.5,ppb,42,24,100
1/20/2018,38.4,ppb,36,24,100
1/21/2018,7,ppb,7,19,79
1/22/2018,14.7,ppb,13,21,88
1/23/2018,34.9,ppb,32,19,79
1/24/2018,45.7,ppb,42,24,100
1/25/2018,40.1,ppb,38,24,100
1/26/2018,46.2,ppb,43,24,100
1/27/2018,44.3,ppb,42,24,100
1/28/2018,40.4,ppb,38,24,100
1/29/2018,40.6,ppb,38,19,79
1/30/2018,45.6,ppb,42,24,100
1/31/2018,45.4,ppb,42,21,88
2/1/2018,49.4,ppb,46,24,100
2/2/2018,41.9,ppb,39,24,100
2/3/2018,36.7,ppb,34,24,100
2/4/2018,34.9,ppb,32,19,79
2/5/2018,40.5,ppb,38,22,92
2/6/2018,30.2,ppb,28,24,100
2/7/2018,22.8,ppb,21,24,100
2/8/2018,42.4,ppb,40,24,100
2/9/2018,36.1,ppb,34,24,100
2/10/2018,16.3,ppb,15,24,100
2/11/2018,31.8,ppb,29,19,79
2/12/2018,24.8,ppb,23,24,100
2/13/2018,30.9,ppb,28,24,100
2/14/2018,30.3,ppb,28,24,100
2/15/2018,24.9,ppb,23,24,100
2/16/2018,25.2,ppb,24,24,100
2/17/2018,22.2,ppb,21,24,100
2/18/2018,9.5,ppb,8,24,100
2/19/2018,7.3,ppb,7,19,79
2/20/2018,10.9,ppb,9,24,100
2/21/2018,28.8,ppb,26,24,100
2/22/2018,41,ppb,39,24,100
2/23/2018,36.7,ppb,34,24,100
2/24/2018,25.6,ppb,24,24,100
2/25/2018,26.3,ppb,25,19,79
2/26/2018,36.7,ppb,34,24,100
2/27/2018,38.4,ppb,36,24,100
2/28/2018,42.7,ppb,40,24,100
3/1/2018,38.2,ppb,36,21,88
3/2/2018,46.9,ppb,43,24,100
3/3/2018,28.1,ppb,26,24,100
3/4/2018,35.3,ppb,33,24,100
3/5/2018,11.1,ppb,10,19,79
3/7/2018,38.9,ppb,36,20,83
3/8/2018,34.7,ppb,32,19,79
3/9/2018,39.6,ppb,37,24,100
3/10/2018,36,ppb,34,24,100
3/11/2018,11.8,ppb,10,19,79
3/12/2018,21.9,ppb,20,24,100
3/13/2018,20.7,ppb,19,24,100
3/14/2018,33.6,ppb,31,24,100
3/15/2018,25.7,ppb,24,24,100
