Date,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2018,29,ug/m3 SC,27,1,100
1/2/2018,25,ug/m3 SC,23,1,100
1/3/2018,29,ug/m3 SC,27,1,100
1/4/2018,33,ug/m3 SC,31,1,100
1/5/2018,41,ug/m3 SC,38,1,100
1/6/2018,28,ug/m3 SC,26,1,100
1/7/2018,15,ug/m3 SC,14,1,100
1/8/2018,25,ug/m3 SC,23,1,100
1/9/2018,40,ug/m3 SC,37,1,100
1/10/2018,14,ug/m3 SC,13,1,100
1/11/2018,11,ug/m3 SC,10,1,100
1/12/2018,21,ug/m3 SC,19,1,100
1/13/2018,13,ug/m3 SC,12,1,100
1/14/2018,11,ug/m3 SC,10,1,100
1/15/2018,23,ug/m3 SC,21,1,100
1/16/2018,22,ug/m3 SC,20,1,100
1/17/2018,40,ug/m3 SC,37,1,100
1/18/2018,37,ug/m3 SC,34,1,100
1/19/2018,34,ug/m3 SC,31,1,100
1/20/2018,37,ug/m3 SC,34,1,100
1/21/2018,9,ug/m3 SC,8,1,100
1/22/2018,6,ug/m3 SC,6,1,100
1/23/2018,9,ug/m3 SC,8,1,100
1/24/2018,21,ug/m3 SC,19,1,100
1/25/2018,23,ug/m3 SC,21,1,100
1/26/2018,26,ug/m3 SC,24,1,100
1/27/2018,15,ug/m3 SC,14,1,100
1/28/2018,12,ug/m3 SC,11,1,100
1/29/2018,17,ug/m3 SC,16,1,100
1/30/2018,38,ug/m3 SC,35,1,100
1/31/2018,34,ug/m3 SC,31,1,100
2/1/2018,25,ug/m3 SC,23,1,100
2/2/2018,27,ug/m3 SC,25,1,100
2/3/2018,28,ug/m3 SC,26,1,100
2/4/2018,15,ug/m3 SC,14,1,100
2/5/2018,26,ug/m3 SC,24,1,100
2/6/2018,23,ug/m3 SC,21,1,100
2/7/2018,11,ug/m3 SC,10,1,100
2/8/2018,21,ug/m3 SC,19,1,100
2/9/2018,18,ug/m3 SC,17,1,100
2/10/2018,35,ug/m3 SC,32,1,100
2/11/2018,12,ug/m3 SC,11,1,100
2/12/2018,34,ug/m3 SC,31,1,100
2/13/2018,29,ug/m3 SC,27,1,100
2/14/2018,22,ug/m3 SC,20,1,100
2/15/2018,8,ug/m3 SC,7,1,100
2/16/2018,15,ug/m3 SC,14,1,100
2/17/2018,11,ug/m3 SC,10,1,100
2/18/2018,10,ug/m3 SC,9,1,100
2/19/2018,14,ug/m3 SC,13,1,100
