Date,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
1/1/2013,1.2,ppb,1,24,100
1/2/2013,1.5,ppb,1,24,100
1/3/2013,1.6,ppb,1,24,100
1/4/2013,1.3,ppb,1,24,100
1/5/2013,3.1,ppb,4,24,100
1/6/2013,3,ppb,4,24,100
1/7/2013,2.1,ppb,3,24,100
1/8/2013,2.1,ppb,3,24,100
1/9/2013,1.9,ppb,1,24,100
1/10/2013,2.9,ppb,3,24,100
1/11/2013,1.2,ppb,1,24,100
1/12/2013,0.9,ppb,0,24,100
1/14/2013,1.9,ppb,1,24,100
1/15/2013,1.3,ppb,1,24,100
1/16/2013,3.3,ppb,4,24,100
1/17/2013,2.1,ppb,3,24,100
1/18/2013,2.9,ppb,3,24,100
1/19/2013,1.4,ppb,1,24,100
1/20/2013,1.1,ppb,1,24,100
1/21/2013,1.9,ppb,1,24,100
1/22/2013,4.9,ppb,6,24,100
1/23/2013,2.7,ppb,3,24,100
1/24/2013,5,ppb,7,24,100
1/25/2013,2.7,ppb,3,24,100
1/26/2013,1.6,ppb,1,24,100
1/27/2013,1,ppb,1,21,88
1/28/2013,1,ppb,1,24,100
1/29/2013,1.2,ppb,1,24,100
1/30/2013,1.1,ppb,1,24,100
1/31/2013,4.8,ppb,6,24,100
2/1/2013,2.6,ppb,3,24,100
2/2/2013,2.1,ppb,3,24,100
2/3/2013,1.3,ppb,1,24,100
2/4/2013,1.8,ppb,1,24,100
2/5/2013,2.4,ppb,3,24,100
2/6/2013,4.2,ppb,6,24,100
2/7/2013,1.6,ppb,1,24,100
2/8/2013,2.5,ppb,3,24,100
2/9/2013,1,ppb,1,24,100
2/11/2013,2.9,ppb,3,21,88
2/12/2013,1.9,ppb,1,24,100
2/13/2013,2.7,ppb,3,24,100
2/15/2013,1.4,ppb,1,24,100
2/16/2013,1.8,ppb,1,24,100
2/17/2013,2.1,ppb,3,24,100
2/18/2013,1,ppb,1,24,100
2/19/2013,1.8,ppb,1,24,100
2/20/2013,1,ppb,1,24,100
2/21/2013,1,ppb,1,24,100
2/22/2013,1,ppb,1,24,100
2/23/2013,1.6,ppb,1,24,100
2/24/2013,1.2,ppb,1,21,88
2/25/2013,1.4,ppb,1,21,88
2/26/2013,2,ppb,3,24,100
2/27/2013,1.3,ppb,1,24,100
2/28/2013,1.5,ppb,1,24,100
3/1/2013,1.6,ppb,1,24,100
3/2/2013,1.6,ppb,1,24,100
3/3/2013,2.3,ppb,3,24,100
3/4/2013,1,ppb,1,24,100
3/5/2013,1.3,ppb,1,24,100
3/6/2013,3.6,ppb,4,24,100
3/7/2013,2,ppb,3,24,100
3/8/2013,4.1,ppb,6,24,100
3/9/2013,0.9,ppb,0,24,100
3/10/2013,1.5,ppb,1,21,88
3/11/2013,3.4,ppb,4,24,100
3/12/2013,2,ppb,3,24,100
3/13/2013,3.4,ppb,4,24,100
3/14/2013,1.5,ppb,1,24,100
3/15/2013,2.6,ppb,3,24,100
3/16/2013,2,ppb,3,24,100
3/17/2013,1.1,ppb,1,24,100
3/18/2013,2.4,ppb,3,24,100
3/19/2013,3.3,ppb,4,24,100
3/20/2013,2,ppb,3,24,100
3/21/2013,1.2,ppb,1,24,100
3/22/2013,2.3,ppb,3,24,100
3/23/2013,1.3,ppb,1,24,100
3/24/2013,1.6,ppb,1,21,88
3/26/2013,1.8,ppb,1,24,100
3/27/2013,2.6,ppb,3,24,100
4/2/2013,1,ppb,1,21,88
4/3/2013,1.3,ppb,1,24,100
4/4/2013,1.1,ppb,1,24,100
4/5/2013,2.6,ppb,3,24,100
4/6/2013,1,ppb,1,24,100
4/7/2013,0.9,ppb,0,21,88
4/8/2013,1.3,ppb,1,21,88
4/9/2013,1,ppb,1,24,100
4/10/2013,0.8,ppb,0,24,100
4/11/2013,1.3,ppb,1,24,100
4/12/2013,2.1,ppb,3,24,100
4/13/2013,1,ppb,1,24,100
4/14/2013,1,ppb,1,24,100
4/15/2013,1.3,ppb,1,24,100
4/16/2013,1,ppb,1,24,100
4/17/2013,1,ppb,1,24,100
