Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,,,Month,Year
16-Sep-24,New Mexico,Albuquerque,Douglas Rd SW,1,0,0,0,0,,,9,2024
15-Sep-24,New Mexico,Albuquerque,Eubank Blvd NE and Copper Ave NE,1,0,0,0,0,,,9,2024
15-Sep-24,New Mexico,Albuquerque,4th St NW and Candelaria Rd NW,0,1,0,0,0,,,9,2024
15-Sep-24,New Mexico,Hobbs,1600 block of E Oak St,1,0,0,0,1,,,9,2024
15-Sep-24,New Mexico,Albuquerque,3140 Coors Blvd NW,1,0,0,0,1,,,9,2024
14-Sep-24,New Mexico,Tucumcari,621 W High St,0,1,0,0,0,,,9,2024
14-Sep-24,New Mexico,Roswell,1600 block of Juniper St,0,1,0,0,1,,,9,2024
13-Sep-24,New Mexico,Hobbs,2100 block of N Rojo Dr,0,0,1,0,0,,,9,2024
11-Sep-24,New Mexico,Albuquerque,120 block of San Pedro Dr SE,1,0,0,0,0,,,9,2024
10-Sep-24,New Mexico,Albuquerque,3512 Los Picaros Rd SE,1,0,0,0,1,,,9,2024
8-Sep-24,New Mexico,Santa Fe,Washington Ave and E Palace Ave,0,0,0,1,1,,,9,2024
8-Sep-24,New Mexico,Santa Fe,Arroyo de las Cruces Rd,0,1,0,0,1,,,9,2024
7-Sep-24,New Mexico,Albuquerque,1700 block of Atrisco Dr SW,1,0,0,0,1,,,9,2024
6-Sep-24,New Mexico,Albuquerque,Rio Bravo Blvd SW and Prince St SW,0,1,0,0,1,,,9,2024
5-Sep-24,New Mexico,Albuquerque,1505 Candelaria Rd NW,0,0,0,0,1,,,9,2024
4-Sep-24,New Mexico,Santa Fe,3000 Cerrillos Rd,0,0,1,0,0,,,9,2024
3-Sep-24,New Mexico,Albuquerque,2100 block of Walter St SE,1,0,0,0,0,,,9,2024
2-Sep-24,New Mexico,Albuquerque,4505 Villa Loma Ln NE,0,3,0,0,0,,,9,2024
2-Sep-24,New Mexico,Clovis,E 11th St and Wallace St,0,1,0,0,0,,,9,2024
1-Sep-24,New Mexico,Roswell,Brenda Rd,0,1,0,0,0,,,9,2024
1-Sep-24,New Mexico,Albuquerque,San Pablo St NE and Chico Rd NE,1,0,0,0,1,,,9,2024
31-Aug-24,New Mexico,Albuquerque,1808 Indian School Rd NW,3,0,1,0,0,,,8,2024
30-Aug-24,New Mexico,Kirtland,9 CR 6693,0,0,0,1,2,,,8,2024
29-Aug-24,New Mexico,Albuquerque,1015 Valencia Dr SE,1,0,0,0,1,,,8,2024
29-Aug-24,New Mexico,Alamogordo,3199 N White Sands Blvd,0,0,1,0,0,,,8,2024
28-Aug-24,New Mexico,Gallup,602 Dani Dr,0,1,0,0,0,,,8,2024
28-Aug-24,New Mexico,Bloomfield,56-62 Rd 4903,2,0,0,1,2,,,8,2024
27-Aug-24,New Mexico,Albuquerque,Atrisco Dr SW and Mares Rd SW,0,1,0,0,1,,,8,2024
27-Aug-24,New Mexico,Albuquerque,2626 Adams St NE,1,0,0,0,1,,,8,2024
27-Aug-24,New Mexico,Clovis,1000 N Martin Luther King Jr Blvd,1,0,0,0,0,,,8,2024
27-Aug-24,New Mexico,Albuquerque,300 block of Parsifal St NE,2,0,0,0,0,,,8,2024
27-Aug-24,New Mexico,Albuquerque,1300 block of Katie St NE,0,0,0,1,0,,,8,2024
26-Aug-24,New Mexico,Albuquerque,520 block of Doe Ln SE,0,1,0,0,0,,,8,2024
25-Aug-24,New Mexico,Albuquerque,2nd St SW and Gold Ave SW,1,0,0,0,0,,,8,2024
25-Aug-24,New Mexico,Albuquerque,1123 4th St SW,1,1,0,0,0,,,8,2024
